Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.34784071005782013,67,0.2965323503760499,49
Astrocytes,0.43973347749097336,609,0.41510828376041764,371
CA1,0.3343206327314391,770,0.33988588892827243,1265
CA2,0.3909158942834113,44,0.39863821291467444,73
CA3,0.37375313367247015,426,0.37113423845297405,672
CGE-derived,0.4042394546372607,138,0.3885650216688198,340
CTX,0.390496016376224,1516,0.3924997469099929,2303
Cajal-Retzius,0.41992799265634245,25,0.4655039438744696,40
Car3,0.19505095089898708,44,0.18401416196443,29
ENT CTX,0.3599220511045106,1339,0.3536746427770655,2672
Endothelial,0.20885306635858164,144,0.20017188014588144,87
Immature GC,0.406458990060014,354,0.4069308063096935,149
Lamp5,0.4248505180983007,89,0.4215353013835648,198
Lamp5 (DG),0.465041079114552,45,0.45177205994879255,39
MGE-derived,0.37222446656099295,199,0.3668069750287344,337
MOL,0.2510446262461929,901,0.25107789668071245,759
Mature GC,0.3639274434961291,1326,0.37841023820225034,808
Microglia,0.1959582995217744,533,0.1856607938752666,703
NFOL,0.35326741141867035,54,0.3329648946078605,95
Neuroblast,0.5160910197270234,105,0.4829108087324631,37
OPC,0.41272275274562764,288,0.3822407015940481,441
PPP,0.2632165199405215,131,0.28441567974610255,668
PV,0.26940648171413434,168,0.24282496580646704,313
Pericytes,0.24895730877798103,82,0.2038721207553555,31
ProS,0.3661665408365976,125,0.3617783175686141,241
SST,0.29577823054695673,140,0.3006874290270426,304
Sncg,0.37488377825964053,99,0.3967351000948782,172
Subiculum,0.3236565880070437,153,0.3152482395342039,268
VIP,0.3737283816980095,64,0.40050144081637923,164
VIP (DG),0.41667047617194136,27,0.39730275347185035,40
VLMC,0.28281869338976223,73,0.2537597905266124,71
nIPC,0.42900256449215957,26,0.38254528039684144,37
rest,0.19701671854505876,2700,0.19151373522333237,1399
