Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.1725753380912008,67,0.2377044119519777,49
Astrocytes,-0.09048063302217343,609,-0.07419307359423803,371
CA1,-0.20662703054903572,770,-0.17865875960872726,1265
CA2,-0.18342597775739378,44,-0.15971992216943312,73
CA3,-0.13334504579310352,426,-0.10940676010919818,672
CGE-derived,-0.05960590036370105,138,-0.0513338637450994,340
CTX,-0.13208168081598606,1516,-0.1079695141924471,2303
Cajal-Retzius,-0.09981974692245395,25,-0.08614257694422148,40
Car3,-0.06969206496311255,44,-0.03941788006687323,29
ENT CTX,-0.09327011999715862,1339,-0.1013726326062372,2672
Endothelial,-0.035873567190464355,144,-0.017289582563456606,87
Immature GC,-0.23239844672185464,354,-0.19084733045007934,149
Lamp5,0.026953107722718105,89,0.01786047756113071,198
Lamp5 (DG),-0.0747766684052244,45,-0.04457515372674248,39
MGE-derived,-0.08553325936415589,199,-0.05967980182997205,337
MOL,-0.052472631261605694,901,-0.03044777695002004,759
Mature GC,-0.2893172028288244,1326,-0.25646587102516194,808
Microglia,0.014747525894333958,533,0.051877913855865015,703
NFOL,-0.14922098750891005,54,-0.10757168272606765,95
Neuroblast,-0.06566953663641693,105,-0.009744443615168203,37
OPC,-0.05217474842453276,288,-0.030273176625708807,441
PPP,-0.16890438943234415,131,-0.176534419277596,668
PV,0.035223301759610325,168,0.04386462568887443,313
Pericytes,-0.05175321540234993,82,-0.034177916874299615,31
ProS,-0.11787167614247088,125,-0.10672196806655766,241
SST,-0.01538225241638783,140,-0.017837068108590565,304
Sncg,-0.04563954015962367,99,-0.04820161403545835,172
Subiculum,-0.15335704062656624,153,-0.15054701149344007,268
VIP,-0.01613825297471286,64,-0.024094085602142705,164
VIP (DG),-0.16949570213960202,27,-0.115416601588087,40
VLMC,-0.016225713330695148,73,-0.008387266476567953,71
nIPC,-0.1178945490722032,26,-0.05830473823165653,37
rest,-0.09707857455260713,2700,-0.0653771059970385,1399
