Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.19940199216238086,17,0.19131631491792034,30,0.22242533061261568,50,0.2684075881047358,19
Astrocytes,0.22228949485575655,145,0.22815193747603635,212,0.26633436695715446,464,0.2405927702278538,159
CA1,0.22199328706951924,367,0.22549215869055064,486,0.22929103567976206,403,0.22038610013277457,779
CA2,0.2845156412610035,23,0.3009957257778343,40,0.29264636432749364,21,0.29320169463015355,33
CA3,0.2562389063088633,217,0.2662651971148001,336,0.27064055290420264,209,0.24808025332929923,336
CGE-derived,0.240153997928463,39,0.23687738974886788,95,0.23563859111745525,99,0.22567400920365763,245
CTX,0.24160233933505593,617,0.24818250111208615,756,0.24535057153085124,899,0.23508805666529872,1547
Cajal-Retzius,0.02970718183183113,2,0.12765911935411078,4,0.13077731287911173,23,0.12231576321885165,36
Car3,0.13360734440157862,21,0.1387047358749749,10,0.15844237399020694,23,0.13248574451925882,19
ENT CTX,0.20492725653358618,611,0.21679161614253442,1152,0.2135876893766346,728,0.2018307521423093,1520
Endothelial,0.17142159878090923,60,0.18384110505302695,61,0.2222969373892759,84,0.1657954545835687,26
Immature GC,0.2768069907594798,79,0.2602897052551727,32,0.2703673675496454,275,0.23727121084274724,117
Lamp5,0.26496987164320357,34,0.2882849004744658,75,0.3096772542664563,55,0.28700040356250484,123
Lamp5 (DG),0.30377942569705374,19,0.3050221560343825,15,0.3273727835567619,26,0.28030715907415343,24
MGE-derived,0.22885912185867918,77,0.2274317241042573,111,0.22889216730283038,122,0.2167333097869596,226
MOL,0.042822165669058346,98,0.04827729517821299,91,0.08860789242936416,803,0.0703418224355642,668
Mature GC,0.2545094096435737,477,0.2562708093146033,268,0.2666876311877957,849,0.25017628712024703,540
Microglia,0.10046323197335968,50,0.07968110308269472,32,0.14299009258806097,483,0.1270299257143366,671
NFOL,0.10201673368822997,4,0.07169241225248452,16,0.12689652034750323,50,0.1174925839426612,79
Neuroblast,0.3153264979769698,11,0.145763329460103,5,0.3351924982692223,94,0.3053986802301918,32
OPC,0.1509567948910562,35,0.1457238781347765,73,0.1933077344982,253,0.17204926345136326,368
PPP,0.20969161455246124,47,0.20991483223065308,308,0.21282924740684991,84,0.21479360998117877,360
PV,0.19957941983196623,85,0.19802965442631412,162,0.21828801389151917,83,0.19817661552129895,151
Pericytes,0.17795815865419895,12,0.1408976990288762,11,0.16205367678447608,70,0.17208286441957943,20
ProS,0.20628262870114392,65,0.2008000350077572,122,0.20164469912875777,60,0.19343909111162153,119
SST,0.15993033599880904,62,0.1704336760621292,131,0.1678601168832764,78,0.17319365875112175,173
Sncg,0.21170314211412877,61,0.20991106160986325,115,0.20745050264960407,38,0.22196420436145406,57
Subiculum,0.1930707455082247,47,0.17780712566506637,100,0.20702652875322616,106,0.19339408791852533,168
VIP,0.22989891660587175,32,0.20632659705418024,50,0.2199541700713335,32,0.21358422265693067,114
VIP (DG),0.27727545091921546,9,0.26082386411807096,12,0.2597569660366106,18,0.23863494802134766,28
VLMC,0.18155522097098664,27,0.16326224386992577,55,0.22829970415433823,46,0.21363047705667843,16
nIPC,0.28278278815372604,4,0.22607248653607262,14,0.25840029487726296,22,0.21946744173300095,23
rest,0.07903043324837897,932,0.10585850178549838,841,0.14478359579122152,1768,0.14038667453152426,558
