Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.340148014393612,67,0.33530871887596286,49
Astrocytes,0.5390984394267144,609,0.4941389583984368,371
CA1,0.1907942082293622,770,0.2100642082769723,1265
CA2,0.31537533651698724,44,0.3444269150686046,73
CA3,0.3481848998584658,426,0.34137189990944333,672
CGE-derived,0.3100276558410718,138,0.2765349074438507,340
CTX,0.298890111159104,1516,0.2907501255832683,2303
Cajal-Retzius,0.2862949060440063,25,0.3501782239278158,40
Car3,0.1721298166477319,44,0.11118398819846667,29
ENT CTX,0.2888177001865046,1339,0.2630363753017135,2672
Endothelial,0.16969468579248145,144,0.19031512245821314,87
Immature GC,0.32182247294769,354,0.3183713093273325,149
Lamp5,0.3529875364910797,89,0.3531646989652203,198
Lamp5 (DG),0.3462145865405047,45,0.3208826375618959,39
MGE-derived,0.2399722952818751,199,0.2382456200389315,337
MOL,0.2768485967935653,901,0.27139352823068136,759
Mature GC,0.26528506633383114,1326,0.28249016571556385,808
Microglia,0.03177613739224805,533,0.038892240568380775,703
NFOL,0.2472342280399652,54,0.23895819139480592,95
Neuroblast,0.5726857964349171,105,0.5999381709313607,37
OPC,0.34832969289135046,288,0.30798627188056144,441
PPP,0.07150504737106596,131,0.08845823646008136,668
PV,0.1584820991943753,168,0.1530144674201616,313
Pericytes,0.202722729948478,82,0.1834027564141058,31
ProS,0.25005053688049317,125,0.24449465334168113,241
SST,0.12436045223190673,140,0.13410546531279882,304
Sncg,0.3016817841545901,99,0.313862094759017,172
Subiculum,0.20374597556710503,153,0.2019084957286493,268
VIP,0.3065258335818847,64,0.32758857378145545,164
VIP (DG),0.31880577440615054,27,0.2606231949329376,40
VLMC,0.34844009383084024,73,0.3785381642529663,71
nIPC,0.41344098280637687,26,0.33543308919614495,37
rest,0.12009135801438933,2700,0.11790277053436722,1399
