Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.1144548876407199,67,0.11323601062461121,49
Astrocytes,0.11696984631100246,609,0.11381062344841886,371
CA1,0.12551731740867347,770,0.13256080574748885,1265
CA2,0.12705193759186853,44,0.13200052017234348,73
CA3,0.1570877050002621,426,0.16142086689318857,672
CGE-derived,0.11177034702381823,138,0.11834797141171424,340
CTX,0.1330692299867639,1516,0.13342216280155658,2303
Cajal-Retzius,0.10528612649367794,25,0.14047183847271474,40
Car3,0.1427222945230674,44,0.1428436334595272,29
ENT CTX,0.11956155292951084,1339,0.11565284352177062,2672
Endothelial,0.1217669205240717,144,0.12453982631857273,87
Immature GC,0.15228295657838314,354,0.14619307677430152,149
Lamp5,0.056022595060035436,89,0.0640437038391801,198
Lamp5 (DG),0.11454332742326624,45,0.09580799955321068,39
MGE-derived,0.11809195634023018,199,0.11212526676972288,337
MOL,0.12179844507437222,901,0.13679819236146337,759
Mature GC,0.15704137321601308,1326,0.15590849783528385,808
Microglia,0.04153953886127841,533,0.036289245837734505,703
NFOL,0.09402513033950263,54,0.11500217010272888,95
Neuroblast,0.21445150046432662,105,0.21776524052696458,37
OPC,0.1551084374954926,288,0.15082405895735546,441
PPP,0.077680140042361,131,0.08778429518697774,668
PV,0.08741117394122197,168,0.09157684571818005,313
Pericytes,0.11312939669170219,82,0.11750272067789778,31
ProS,0.05162897124473559,125,0.05974724911751476,241
SST,0.10468950969659332,140,0.1013393155850534,304
Sncg,0.08096720627919352,99,0.08340922735339405,172
Subiculum,0.15565749707559606,153,0.14722526255185892,268
VIP,0.092068705044409,64,0.10902065662267839,164
VIP (DG),0.14205889724545578,27,0.14034171935811465,40
VLMC,0.09909140754696211,73,0.050194091261177395,71
nIPC,0.17037598863942524,26,0.17010475024738958,37
rest,0.09592584743742,2700,0.09040722916696489,1399
