Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,-0.10757147890206287,67,-0.08629553139700512,49
Astrocytes,-0.12778480355395655,609,-0.12628071660409837,371
CA1,-0.06436747786285728,770,-0.0669281426703546,1265
CA2,-0.0867432356979536,44,-0.09169314532107167,73
CA3,-0.09764286345917218,426,-0.10345361376654194,672
CGE-derived,-0.08348169530476622,138,-0.08088001997993469,340
CTX,-0.08809169006143683,1516,-0.0879879925996884,2303
Cajal-Retzius,-0.03338825787681105,25,-0.05530102053864909,40
Car3,-0.09754375939847014,44,-0.09762514561409644,29
ENT CTX,-0.0896668502652271,1339,-0.08636380114349017,2672
Endothelial,-0.07943228554330808,144,-0.07585759626235644,87
Immature GC,-0.10961067579964599,354,-0.10308015562823962,149
Lamp5,-0.04211949573791184,89,-0.04668693577677078,198
Lamp5 (DG),-0.08473930631616818,45,-0.06798975142184807,39
MGE-derived,-0.08131478629056979,199,-0.07448200950988858,337
MOL,-0.11139948008079877,901,-0.11630594065935052,759
Mature GC,-0.10248415017866605,1326,-0.10190827798162228,808
Microglia,-0.044936516868533095,533,-0.03608632843037957,703
NFOL,-0.07844803476633043,54,-0.0987737330601796,95
Neuroblast,-0.09937524672942791,105,-0.10518835035109728,37
OPC,-0.09069246954320005,288,-0.08597348353174168,441
PPP,-0.07209735986916173,131,-0.07037235200518434,668
PV,-0.03911885340096081,168,-0.04782198092717841,313
Pericytes,-0.06349367711148897,82,-0.05151284147092814,31
ProS,-0.062115780927650015,125,-0.06750531670725729,241
SST,-0.06820536774884227,140,-0.06920026912607448,304
Sncg,-0.05148828944758723,99,-0.05251786543133427,172
Subiculum,-0.07647397902717921,153,-0.07555720670752611,268
VIP,-0.06336697585272913,64,-0.08433715888403924,164
VIP (DG),-0.0931099321822745,27,-0.10492755850953946,40
VLMC,-0.05253476929942393,73,-0.019507830822256902,71
nIPC,-0.0880724476535301,26,-0.0977660442049386,37
rest,-0.052518612529094746,2700,-0.05025910742054565,1399
