Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.32867498361885555,67,0.29348341529401967,49
Astrocytes,0.2130104714908767,609,0.17602684487800704,371
CA1,0.45464162903882815,770,0.4498613315342845,1265
CA2,0.48706138804582894,44,0.48312999911581667,73
CA3,0.5265103395923254,426,0.5043294692388429,672
CGE-derived,0.4138189580646477,138,0.4183227478445168,340
CTX,0.46659823151065216,1516,0.46392604487213224,2303
Cajal-Retzius,0.31386897655747553,25,0.2742736974624632,40
Car3,0.36134782353160605,44,0.34714689407377486,29
ENT CTX,0.39162045350459934,1339,0.3883221428778246,2672
Endothelial,0.24247544743378915,144,0.21246053330282802,87
Immature GC,0.4435915103602998,354,0.44591072161230805,149
Lamp5,0.34536166633209414,89,0.3223228470438574,198
Lamp5 (DG),0.4528695571674864,45,0.4341625601101815,39
MGE-derived,0.42095487989318897,199,0.4243825351426299,337
MOL,0.25396544058693815,901,0.24554919261628552,759
Mature GC,0.4501408233310535,1326,0.4465474289309401,808
Microglia,0.2391554094128795,533,0.22218251508098927,703
NFOL,0.23371430099962598,54,0.22289278788109027,95
Neuroblast,0.41833447481452474,105,0.36532127666738157,37
OPC,0.24174299567718757,288,0.22344809816727174,441
PPP,0.39064592952822386,131,0.37299879485452253,668
PV,0.3527175239844518,168,0.34688108874584356,313
Pericytes,0.26754262418038277,82,0.24553813415853362,31
ProS,0.41629100392005647,125,0.4060219542411084,241
SST,0.3532448554184014,140,0.34385703485632635,304
Sncg,0.30101451456713435,99,0.2922790440379759,172
Subiculum,0.36396047009974114,153,0.33324895047387815,268
VIP,0.31850257541917093,64,0.3152406124141995,164
VIP (DG),0.4501720134882424,27,0.4318380783891774,40
VLMC,0.24530961011569424,73,0.1938599626523113,71
nIPC,0.3207300778726687,26,0.33624254019980104,37
rest,0.2098894638343098,2700,0.20945938916814943,1399
