Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.040436522874453575,17,0.10946988383321236,30,-0.024056629967353207,50,-0.0728449715000335,19
Astrocytes,0.09153168158589416,145,0.08806341853761251,212,0.10181286204506829,464,0.06698701610522796,159
CA1,-0.14132295145371646,367,-0.12397919417186598,486,-0.14553306124835044,403,-0.13346667221613318,779
CA2,-0.0697082567521252,23,-0.06475676374322145,40,-0.08192831602018004,21,-0.04142891494043149,33
CA3,-0.03709626810811352,217,-0.021219353974782112,336,-0.013598935049307297,209,-0.03830532311227941,336
CGE-derived,-0.0807587557830369,39,-0.119564606634705,95,-0.09951148240743057,99,-0.10910857635180633,245
CTX,-0.0962760782478146,617,-0.09168539590768388,756,-0.0884006807900469,899,-0.10666788533240971,1547
Cajal-Retzius,0.010871854801928427,2,-0.2294020408458327,4,-0.1461987336918374,23,-0.10265057318007839,36
Car3,-0.04260144600750392,21,-0.08994626128310705,10,-0.004952153952071473,23,-0.06382170665167712,19
ENT CTX,-0.06211763196222474,611,-0.09547233144687382,1152,-0.07864677575589388,728,-0.08697455583377764,1520
Endothelial,-0.030548814632077818,60,0.008516624834906379,61,-0.04530807051897329,84,-0.05296353975986266,26
Immature GC,-0.08230533866589804,79,-0.06660100019212645,32,-0.08530620110238814,275,-0.09456523969422001,117
Lamp5,-0.07068046864518285,34,-0.04777455649400695,75,-0.07259398962011733,55,-0.08092916700635526,123
Lamp5 (DG),-0.12281944827663055,19,-0.12308500576467683,15,-0.11590856340677472,26,-0.13576718277578395,24
MGE-derived,-0.1346500667770666,77,-0.13140005004011554,111,-0.13073874543205194,122,-0.12716712865978214,226
MOL,0.061185207429001624,98,-0.0003169264051319954,91,0.02148596156306396,803,0.0231263542654093,668
Mature GC,-0.10364906647095225,477,-0.08785881674430114,268,-0.0958294315789903,849,-0.09992084385512959,540
Microglia,-0.1423848326378605,50,-0.09019199883934517,32,-0.16643861445785618,483,-0.14946669003261057,671
NFOL,-0.16202913217130377,4,-0.0842910592166158,16,-0.10155350747529718,50,-0.095974428579422,79
Neuroblast,0.03645697824046012,11,0.061980697758567696,5,0.05895132759238067,94,0.125628403517699,32
OPC,-0.054257816897279106,35,-0.062433090974551096,73,-0.06579516856374329,253,-0.07659942353941689,368
PPP,-0.21870998408508227,47,-0.21298558867023148,308,-0.17660516255475955,84,-0.18138891890175238,360
PV,-0.11313785823488179,85,-0.09038806104779783,162,-0.10865757004041654,83,-0.08919086162364476,151
Pericytes,-0.07255728101057748,12,-0.02575192447647422,11,-0.04172211559846173,70,-0.017563956266876124,20
ProS,-0.11522941417181065,65,-0.11315094903092053,122,-0.11707647622242273,60,-0.12152056552032389,119
SST,-0.1443323247876978,62,-0.17291981198956755,131,-0.19294724137525313,78,-0.1617827838063396,173
Sncg,-0.05088004116764397,61,-0.07799824935503927,115,-0.10903460276772912,38,-0.09270803933225658,57
Subiculum,-0.11650652527189644,47,-0.09200809032051493,100,-0.12141997184463672,106,-0.12603715659426865,168
VIP,-0.06817586035476672,32,-0.07683534200118929,50,-0.06622923587748274,32,-0.0711924832777897,114
VIP (DG),-0.07827851163862093,9,-0.15201391828145697,12,-0.10765779682937596,18,-0.13010769007782225,28
VLMC,0.07721219535728674,27,0.14307573950817656,55,0.058818107772868514,46,0.06188117885133824,16
nIPC,0.00206442113620052,4,-0.009450752843107769,14,-0.018766309471597662,22,-0.07003654498357653,23
rest,-0.05611856664170688,932,-0.06687605443685217,841,-0.08789364780697774,1768,-0.08376160899367313,558
