Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.006883408738657018,67,0.02694047922760611,49
Astrocytes,-0.010814957242954084,609,-0.012470093155679499,371
CA1,0.06114983954581618,770,0.06563266307713427,1265
CA2,0.04030870189391495,44,0.04030737485127182,73
CA3,0.0594448415410899,426,0.05796725312664661,672
CGE-derived,0.028288651719052017,138,0.03746795143177959,340
CTX,0.0449775399253271,1516,0.0454341702018682,2303
Cajal-Retzius,0.0718978686168669,25,0.08517081793406564,40
Car3,0.045178535124597276,44,0.045218487845430776,29
ENT CTX,0.029894702664283762,1339,0.029289042378280453,2672
Endothelial,0.04233463498076359,144,0.04868223005621632,87
Immature GC,0.042672280778737144,354,0.04311292114606186,149
Lamp5,0.013903099322123589,89,0.01735676806240931,198
Lamp5 (DG),0.029804021107098067,45,0.0278182481313626,39
MGE-derived,0.036777170049660406,199,0.0376432572598343,337
MOL,0.010398964993573444,901,0.020492251702112843,759
Mature GC,0.05455722303734702,1326,0.05400021985366158,808
Microglia,-0.0033969780072546883,533,0.00020291740735493353,703
NFOL,0.015577095573172188,54,0.016228437042549285,95
Neuroblast,0.11507625373489871,105,0.11257689017586726,37
OPC,0.06441596795229255,288,0.06485057542561377,441
PPP,0.005582780173199267,131,0.017411943181793413,668
PV,0.04829232054026117,168,0.043754864791001644,313
Pericytes,0.04963571958021318,82,0.06598987920696965,31
ProS,-0.010486809682914416,125,-0.007758067589742522,241
SST,0.036484141947751035,140,0.03213904645897893,304
Sncg,0.029478916831606285,99,0.030891361922059785,172
Subiculum,0.07918351804841685,153,0.07166805584433279,268
VIP,0.028701729191679865,64,0.024683497738639124,164
VIP (DG),0.04894896506318132,27,0.03541416084857518,40
VLMC,0.04655663824753816,73,0.030686260438920483,71
nIPC,0.08230354098589508,26,0.07233870604245096,37
rest,0.04340723490832525,2700,0.04014812174641925,1399
