names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CT SUB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Sdk2,16.36414,2.299939,3.4486848317129205e-60,3.861090059505257e-57,0.8347457627118644,0.38689294096407295,1.0724187,0.329587
Phactr1,16.35057,1.340492,4.309186951609282e-60,4.631514135589656e-57,0.9872881355932204,0.889113558404044,3.2587032,2.3867815
Lrrc4c,16.303751,1.4983974,9.281652651617109e-60,9.592231028805835e-57,0.9915254237288136,0.9146777396641993,3.6051023,2.614918
Grm3,16.276056,2.1577694,1.4597867329158894e-59,1.4527581301277758e-56,0.9491525423728814,0.5744719263404947,2.0291076,0.90854424
Ryr3,16.236712,1.7958015,2.7740420468446687e-59,2.662089635668437e-56,0.9788135593220338,0.7177468857194439,2.4939702,1.4349836
Rai14,16.03107,3.1481535,7.753590662602114e-58,7.184102796693751e-55,0.7203389830508474,0.17328037551904676,0.8106099,0.13183445
Sntb1,16.00644,4.05026,1.1521669005761854e-57,1.0319574872827367e-54,0.6652542372881356,0.08734428597219715,0.84156716,0.076660484
Adamtsl1,15.996577,2.9064374,1.349958508929861e-57,1.1701091979014633e-54,0.8135593220338984,0.4076548113377866,1.7315621,0.48250285
Sox5,15.988303,1.970339,1.5417262321669964e-57,1.2945682455727248e-54,0.9576271186440678,0.6175844015165193,2.1115098,1.0483286
Agbl4,15.894254,1.681622,6.945104859216068e-57,5.654999017185932e-54,0.9533898305084746,0.751399169525185,2.6170967,1.6009411
Pde1a,15.657541,1.7804139,2.950885511656561e-55,2.3320674617121114e-52,0.9745762711864406,0.7614009749052175,2.7044368,1.6212947
Rorb,15.550413,2.6209877,1.5808216112962816e-54,1.213619334158031e-51,0.7838983050847458,0.2375519046759343,1.1754756,0.310477
Gabrg3,15.46591,1.9656063,5.893476979304389e-54,4.398825734275248e-51,0.9576271186440678,0.6513089005235602,2.288102,1.1840185
Fgf14,15.355531,1.0347033,3.252347855301156e-53,2.3619077532957316e-50,0.9830508474576272,0.9241018234338328,3.7628279,3.0696845
Asic2,15.258072,1.685439,1.4548413594587045e-52,1.0287259823330364e-49,0.9661016949152542,0.7905037010290666,2.8733141,1.8230586
Htr1f,15.251347,2.411183,1.6127222448193126e-52,1.1111242748280751e-49,0.809322033898305,0.35219353673948367,1.2520572,0.38494906
A830018L16Rik,15.187485,1.6839495,4.280326692874634e-52,2.875309455938535e-49,0.9576271186440678,0.6872359631702474,2.1109912,1.1812395
Myt1l,15.047854,1.2470634,3.5661387402294625e-51,2.33712555975526e-48,0.9661016949152542,0.8022386712402961,2.4933658,1.7364745
Mdga2,15.029037,0.95748055,4.73843689823995e-51,3.031471415612083e-48,0.9788135593220338,0.9122946380213035,3.3773081,2.7452748
Adgra1,15.022989,2.3531845,5.191308303902548e-51,3.243964049438639e-48,0.7627118644067796,0.32825419750857554,0.86206776,0.23724103
Elavl4,14.961887,1.8167225,1.3027829615541937e-50,7.955858676582087e-48,0.8898305084745762,0.5365589456580611,1.3410428,0.5885412
Kcnh7,14.88453,1.662199,4.1539322032671863e-50,2.4803590733730953e-47,0.9661016949152542,0.7956309803213576,2.8893445,1.8508803
Slc4a10,14.8580475,1.2823559,6.169731714202876e-50,3.603928068709376e-47,0.9576271186440678,0.7728109767105976,2.11992,1.389718
Lrrtm4,14.641652,1.601142,1.523213584852035e-48,8.70824447339876e-46,0.9872881355932204,0.9199133417584402,4.1074986,3.030593
Arpp21,14.532032,1.436659,7.593442645772005e-48,4.2507459144144534e-45,0.9788135593220338,0.7978335439610038,2.7905986,1.8944248
Ncald,14.476467,1.5182728,1.7064459453189307e-47,9.357592357289728e-45,0.9491525423728814,0.6998736233977252,1.8286474,1.0382354
Xkr6,14.235859,1.644082,5.488408352481426e-46,2.949470648623518e-43,0.885593220338983,0.5829572124932298,1.3790698,0.6681556
Smyd3,14.225859,1.4528977,6.3322148956934415e-46,3.3362081224957405e-43,0.923728813559322,0.726304387073479,1.8029412,1.0476979
Chsy3,14.220508,1.6615704,6.835499137687619e-46,3.532112727493583e-43,0.9491525423728814,0.7020400794367214,2.1799316,1.2470291
Frmpd4,13.982588,1.5182163,1.9911514543100565e-44,1.0094762184398342e-41,0.9830508474576272,0.8323163025816934,3.0984461,2.1268632
Olfm3,13.930773,2.1583436,4.118741112307449e-44,2.049455068290762e-41,0.7966101694915254,0.3961725943311067,1.2793249,0.45814472
Prickle1,13.904168,1.3122944,5.975737060437228e-44,2.919419178435424e-41,0.9491525423728814,0.740566889330204,1.9937735,1.2681478
Dync1i1,13.870648,1.3297061,9.541061247846548e-44,4.578005638029227e-41,0.9449152542372882,0.7162664740927965,1.8900876,1.1743041
Nrxn1,13.835158,0.8587165,1.5639247832027617e-43,7.372396302571615e-41,0.9915254237288136,0.9666004693988085,4.201017,3.617908
Mmp16,13.811829,1.3295829,2.1627030086884468e-43,1.0019281007492855e-40,0.9533898305084746,0.7873262321718721,2.3761444,1.5860994
Sh3gl2,13.755175,1.3611139,4.741373703256916e-43,2.159334091635819e-40,0.9364406779661016,0.711428055605705,1.7983352,1.0858052
Cep112,13.523517,1.7247584,1.1361216083792701e-41,5.087931269525165e-39,0.8389830508474576,0.486874887163748,1.1915374,0.5267883
Chrm3,13.443724,1.7579807,3.3513959963140564e-41,1.4762624659173557e-38,0.961864406779661,0.6581332370463983,2.2718012,1.2729337
Meg3,13.431024,1.4060614,3.9787605155792235e-41,1.7243434686066734e-38,0.9830508474576272,0.9133056508395018,4.1920433,3.242064
Sema3e,13.404349,1.8424196,5.702088201733811e-41,2.4319858727077385e-38,0.8347457627118644,0.43534934103628814,1.2372332,0.5200401
Sel1l3,13.314277,1.8302392,1.9121650847297018e-40,8.028105597919858e-38,0.7754237288135594,0.44603719082866944,0.9990522,0.39372182
Khdrbs3,13.209338,1.493951,7.750326541859393e-40,3.2038657566117218e-37,0.9449152542372882,0.6725040621050731,1.9417586,1.1378149
Ano3,13.161938,1.5212305,1.453107687944419e-39,5.91590963258584e-37,0.940677966101695,0.6653547571763856,1.8758032,1.0733641
Rasgef1b,13.032097,1.6034588,8.036776063518237e-39,3.223107057115448e-36,0.8940677966101694,0.5423000541614009,1.4638085,0.73876977
Samd12,12.9841175,1.1963475,1.5056348159031265e-38,5.949471691664266e-36,0.9533898305084746,0.7492688210868388,2.0435266,1.369015
Sulf1,12.95517,2.7104266,2.1964893102582304e-38,8.553575038643282e-36,0.614406779661017,0.15667087922007583,0.6375801,0.12774964
Cacnb4,12.885798,1.2919803,5.411228639247745e-38,2.0771387648083843e-35,0.9661016949152542,0.7678642354215562,2.1087484,1.3752031
Slc35f4,12.800042,1.5270089,1.6386143241776046e-37,6.03144751926743e-35,0.8983050847457628,0.5905398086297166,1.4976423,0.7904854
Hs3st5,12.773032,2.7639093,2.319382899645098e-37,8.421867366684294e-35,0.6483050847457628,0.26578804838418485,1.0542166,0.24315761
Hecw2,12.7390585,1.2780117,3.5869732272250625e-37,1.285092941540499e-34,0.940677966101695,0.7261599566708792,1.8791312,1.1901919
5730522E02Rik,12.711197,1.385057,5.124376392050246e-37,1.8117367586103962e-34,0.9533898305084746,0.7473551182523921,2.4096477,1.5848454
Rspo2,12.690365,2.1249871,6.6873143314311234e-37,2.33361215695525e-34,0.7203389830508474,0.34432207979779744,1.0381668,0.34936497
Opcml,12.655276,1.1217011,1.0460680365806467e-36,3.6035702747335864e-34,0.9872881355932204,0.9254739122585304,3.860495,3.107461
Samd5,12.638875,1.6149645,1.288847309313161e-36,4.383712303955016e-34,0.8432203389830508,0.4813143166636577,1.204238,0.56648266
Mtus2,12.6124935,1.3368483,1.8020007773406484e-36,6.052470110892903e-34,0.8813559322033898,0.6201480411626648,1.3350539,0.74600416
Prkcb,12.610539,1.1965157,1.8472390845027553e-36,6.1278165679739546e-34,0.9491525423728814,0.7968947463441054,2.1938877,1.499078
Srrm4,12.579557,1.4317135,2.7355932833996557e-36,8.879277080676232e-34,0.8432203389830508,0.5670337606066077,1.1563647,0.59194356
Grid1,12.57935,1.1486284,2.7427614354154344e-36,8.879277080676232e-34,0.9491525423728814,0.78284888969128,2.1956897,1.5265388
Foxp1,12.566091,1.1291618,3.2437087450112364e-36,1.0376006426006182e-33,0.9576271186440678,0.7942227838960101,2.0705824,1.4274318
Xylt1,12.533032,1.3651215,4.9243033875225826e-36,1.556659200267433e-33,0.9279661016949152,0.6395017151110308,1.6030108,0.932311
A330102I10Rik,12.503218,1.7772979,7.168982097304869e-36,2.2398901041230444e-33,0.7542372881355932,0.41505686947102366,0.8675007,0.33851618
Ahi1,12.479025,1.1013708,9.716918411937922e-36,3.0010758359628962e-33,0.9449152542372882,0.7577541072395739,1.9087747,1.3022376
Runx1t1,12.457123,1.4538883,1.2790230451612687e-35,3.8614999127509314e-33,0.9194915254237288,0.6070048745260878,1.6262168,0.9126943
A230057D06Rik,12.3366785,1.1602634,5.747821068505478e-35,1.6971862869312328e-32,0.9661016949152542,0.787434554973822,2.2442462,1.563039
Nova1,12.2481785,1.5587894,1.7181205352420175e-34,5.018032476299241e-32,0.8135593220338984,0.4985376421736776,0.9989502,0.45886585
St3gal5,12.234047,1.4957817,2.044907561574216e-34,5.908243675214966e-32,0.809322033898305,0.5490882830835891,1.0686247,0.51745325
Hs6st2,12.217289,1.61196,2.5132679334013653e-34,7.184203124520711e-32,0.7923728813559322,0.44293193717277485,0.99411446,0.44271085
Arap2,12.200243,1.5112581,3.0989732771000375e-34,8.765201258492421e-32,0.8389830508474576,0.5769994583859902,1.3248837,0.67744327
Tmem178,12.152973,1.523168,5.531696938256614e-34,1.5482989242807834e-31,0.788135593220339,0.5044231810796173,1.0161822,0.47825375
Rims2,12.075839,1.042699,1.4171187606137965e-33,3.9255650616178053e-31,0.940677966101695,0.8083408557501354,2.3584871,1.7312765
Ephb1,12.012033,1.6404783,3.07197720485137e-33,8.422859948403706e-31,0.7796610169491526,0.42282000361076005,1.0351422,0.45889527
Pcsk5,12.007124,1.6327893,3.259846944425839e-33,8.847685595628515e-31,0.809322033898305,0.4601191550821448,1.210765,0.56516725
Gm4258,11.815903,1.1978922,3.2306079265500745e-32,8.346772594846201e-30,0.9322033898305084,0.7221881205993862,1.7036335,1.0848277
Slc35f1,11.77044,1.3894284,5.543452211363536e-32,1.392080008591946e-29,0.9279661016949152,0.6528976349521575,1.7527325,1.0370654
A230006K03Rik,11.750103,1.3060752,7.053308943948592e-32,1.7548371418879507e-29,0.8983050847457628,0.6642715291568875,1.8934816,1.1884291
Dtnb,11.74193,1.0971696,7.769257926165604e-32,1.9152289951933005e-29,0.940677966101695,0.7256183426611301,1.6027294,1.0487597
Nrg3,11.685945,0.936532,1.5039818270865336e-31,3.6738174267104686e-29,0.9957627118644068,0.947391225853042,4.242481,3.6063807
Gria3,11.675413,1.1065863,1.7023686356276657e-31,4.1209590305689523e-29,0.9576271186440678,0.8035385448636938,2.4774034,1.8028059
Snhg11,11.656271,1.2901424,2.131746040636676e-31,5.114287152848882e-29,0.9788135593220338,0.8272973460913522,3.0163517,2.1904943
Dnm3,11.644053,1.1931144,2.4603794599695556e-31,5.850477530033802e-29,0.9364406779661016,0.7261960642715292,1.74264,1.1187444
Csmd2,11.593236,1.1789588,4.459583811779431e-31,1.0511317282676605e-28,0.9449152542372882,0.7237768550279834,1.8249644,1.1932659
Satb1,11.577901,1.4830769,5.333603052231576e-31,1.2462079479431517e-28,0.809322033898305,0.46286333273154,1.0082339,0.484098
Csmd3,11.570264,0.8589878,5.830314053707002e-31,1.3505218846819579e-28,0.9703389830508474,0.8999097309983751,3.117654,2.5576322
Ptk2,11.550028,0.95030963,7.379668664412623e-31,1.6948008291689502e-28,0.940677966101695,0.7964253475356563,1.85284,1.3305691
Hivep1,11.492011,1.784292,1.4470371086038765e-30,3.2950751786598444e-28,0.6779661016949152,0.3254739122585304,0.6858806,0.2516258
Rnf150,11.484921,1.188951,1.570790159918658e-30,3.5172609664178618e-28,0.902542372881356,0.6713125112836252,1.5022075,0.9288074
B230209E15Rik,11.407685,1.2331405,3.8277866694142464e-30,8.430543262882033e-28,0.847457627118644,0.5921646506589637,1.178678,0.67149466
Serpini1,11.391325,1.4994625,4.619125990920748e-30,1.0009348014196815e-27,0.8008474576271186,0.5261238490702292,1.1480584,0.5659705
Csmd1,11.37965,0.9243078,5.281117482064068e-30,1.1352290139444922e-27,0.9957627118644068,0.9432749593789492,4.207082,3.579677
Kcnq5,11.3459635,1.418729,7.766577429391264e-30,1.656253456569391e-27,0.9703389830508474,0.7806824336522838,2.6883368,1.8127178
Pdzrn4,11.335842,1.4903225,8.718984023888559e-30,1.8447173285187844e-27,0.847457627118644,0.5385448636938075,1.4131247,0.7450358
Ext1,11.332047,1.1492953,9.105117063199053e-30,1.9113632460012388e-27,0.9576271186440678,0.7743636035385448,2.1131897,1.4538836
Dlg2,11.261561,0.76597106,2.0312731895016974e-29,4.134872015296258e-27,0.9830508474576272,0.9552265751940784,4.236944,3.716087
Kcnma1,11.258845,0.9311768,2.0948519694849273e-29,4.232231009027067e-27,0.9661016949152542,0.856580610218451,2.8077688,2.2155993
Grik4,11.232995,1.36599,2.8079634849141434e-29,5.630595435794256e-27,0.8771186440677966,0.5662393933923091,1.3742989,0.76332724
Igsf21,11.230449,1.7845799,2.890055267541349e-29,5.752280373247115e-27,0.652542372881356,0.3118974544141542,0.62738985,0.2257923
Pcdh9,11.11412,0.7370719,1.07101561299097e-28,2.1160433471373062e-26,0.9872881355932204,0.9714027802852501,4.3368826,3.8346674
A330076H08Rik,11.098165,1.1788013,1.280466757634107e-28,2.5113972100458726e-26,0.9067796610169492,0.6557862430041523,1.3670275,0.82917887
Camk4,11.091147,1.226651,1.384997289527813e-28,2.696730229682054e-26,0.8898305084745762,0.6244448456400072,1.4559846,0.8776709
Ldb2,11.087195,1.4295031,1.447557318019485e-28,2.7982636787901844e-26,0.8771186440677966,0.553673948366131,1.5117297,0.8382179
Nalf1,11.049293,0.9742843,2.2094842053048337e-28,4.210556070676658e-26,0.9872881355932204,0.899440332189926,3.4929442,2.8465276
Ssbp2,10.999185,1.0487303,3.856015275113535e-28,7.296558481852161e-26,0.9491525423728814,0.7711861346813504,1.8713754,1.2967318
Gas7,10.95328,1.1920019,6.408372820073921e-28,1.1957845671901824e-25,0.826271186440678,0.6002527532045495,1.1297077,0.65069044
Hecw1,10.935177,1.1127274,7.825331058959258e-28,1.4501147969257603e-25,0.9279661016949152,0.7128001444304026,1.7527515,1.1650087
Mpped1,10.91477,1.4447094,9.797655225210788e-28,1.8031712048042048e-25,0.7584745762711864,0.45076728651381115,0.90327686,0.43124568
Igsf9b,10.791152,1.4869692,3.79006667417988e-27,6.927829356136965e-25,0.7033898305084746,0.40267196244809533,0.72037524,0.31951258
Dmd,10.683271,0.980356,1.2189925807990289e-26,2.1982772245684502e-24,0.9788135593220338,0.8740566889330204,2.904488,2.276876
Adamts16,10.666692,2.43188,1.4572332043176514e-26,2.610390413334353e-24,0.5254237288135594,0.15544322079797798,0.47464326,0.106675446
Fnbp1l,10.662135,1.2943302,1.5304329354783453e-26,2.7233597997551748e-24,0.8220338983050848,0.5229463802130349,1.0914372,0.59150684
Nrep,10.658973,2.0527,1.583361015146026e-26,2.799007268221955e-24,0.5847457627118644,0.258855389059397,0.589372,0.17690212
Dzip1,10.646179,1.6866688,1.8166868076767657e-26,3.1904819949199147e-24,0.6694915254237288,0.39815851236685323,0.73600477,0.29106304
Tenm2,10.575665,1.0102334,3.864254549256392e-26,6.74237141159216e-24,0.9872881355932204,0.9397725221159055,4.049534,3.3668163
Nalcn,10.568721,0.93943846,4.161300964015052e-26,7.213816574392544e-24,0.923728813559322,0.7442859721971475,1.6166787,1.1329147
Bbs9,10.563398,1.3113637,4.404210259905748e-26,7.585969851517144e-24,0.7584745762711864,0.4928326412709875,0.8727165,0.44562134
Ank2,10.538866,0.58499116,5.7184497239672e-26,9.78692637471329e-24,0.9830508474576272,0.9334897996028164,3.0904238,2.707415
Ctnnd2,10.50398,0.83351547,8.281375429382656e-26,1.3907534861719497e-23,0.9788135593220338,0.8844195703195523,2.9942076,2.4548662
Cobll1,10.426999,2.0893557,1.8669094851145978e-25,3.1157675692564745e-23,0.5847457627118644,0.23332731539989168,0.73167443,0.2258962
Sv2b,10.303572,1.2327032,6.789252654670819e-25,1.119185391601257e-22,0.9322033898305084,0.6192092435457663,1.5773365,0.9688306
Gm39436,10.288986,4.611011,7.900339715210482e-25,1.28220387742836e-22,0.4194915254237288,0.04408738039357285,0.45461422,0.023279708
Igf1r,10.288732,1.0280555,7.9213190790140585e-25,1.28220387742836e-22,0.8898305084745762,0.6856833363423,1.3340347,0.86341447
Flrt2,10.286558,1.1779639,8.102057334356056e-25,1.3036064705038757e-22,0.8771186440677966,0.6016609496298971,1.3090369,0.78595006
Mtcl1,10.285241,1.4262791,8.213630385603382e-25,1.3136919551259697e-22,0.690677966101695,0.4076548113377866,0.69076616,0.315044
Galnt9,10.06187,1.4965,8.143712241025501e-24,1.2722183018392745e-21,0.6779661016949152,0.38404044051272795,0.70323414,0.30865875
Cdh11,9.959635,1.0093087,2.2890221986340956e-23,3.534829107890698e-21,0.9152542372881356,0.7265571402780285,1.7327937,1.1979269
Atp2b4,9.834266,1.2990868,8.015028290335511e-23,1.216744690176922e-20,0.7245762711864406,0.4446289944033219,0.8501151,0.43471283
Tshz3,9.829583,1.4870373,8.396530513379822e-23,1.2674987353624484e-20,0.6822033898305084,0.38562917494132515,0.79824567,0.36173084
Celf4,9.710972,0.94194484,2.7074309320131265e-22,4.019263488574183e-20,0.940677966101695,0.7911536378407655,2.1365511,1.586878
Slit2,9.697777,1.4482098,3.0813876242065215e-22,4.524419970624548e-20,0.7754237288135594,0.5720888246975988,1.5408493,0.85204804
Adgrl2,9.696224,1.3170263,3.128620536136862e-22,4.5688061851085587e-20,0.7415254237288136,0.4344466510200397,0.89752865,0.45956898
Npas2,9.690022,1.2659776,3.3245608325286147e-22,4.8286999767591286e-20,0.75,0.4848528615273515,0.92753243,0.49193516
Cdr1os,9.686321,0.92550635,3.4472202051286396e-22,4.9799358554734704e-20,0.9491525423728814,0.7690918938436541,2.0875723,1.551777
Slc1a2,9.683727,0.93441874,3.535862320375657e-22,5.0806748956413853e-20,0.9364406779661016,0.7289763495215743,1.6963632,1.2031558
Efr3a,9.614879,1.0660601,6.919090051050537e-22,9.889146259134464e-20,0.8389830508474576,0.6235060480231088,1.1963047,0.74302644
Parm1,9.611745,1.3971992,7.132965188360633e-22,1.0140887545568794e-19,0.6779661016949152,0.39790575916230364,0.7729411,0.36654344
Lmo3,9.532888,1.2422819,1.5296701983147105e-21,2.1519496454825273e-19,0.7627118644067796,0.4993320093879762,0.98544323,0.5363289
Mir100hg,9.529779,1.0169429,1.5761833844194819e-21,2.205835809341223e-19,0.9449152542372882,0.7283264127098754,1.7953931,1.2474937
Spon1,9.525559,1.1632657,1.6415582538471683e-21,2.2854233306152028e-19,0.7838983050847458,0.4919299512547391,0.9731338,0.5510297
Tusc3,9.482188,0.8837438,2.4900503030879394e-21,3.4311616227678425e-19,0.9110169491525424,0.7122585304206536,1.3115405,0.904111
Kcnmb4,9.466679,1.4839039,2.8888227486278335e-21,3.9603401661035654e-19,0.6186440677966102,0.35273515074923273,0.57811576,0.2467209
Zmiz1os1,9.460708,1.7700577,3.058655640120194e-21,4.1718820837578485e-19,0.5635593220338984,0.2797616898357104,0.5214865,0.18290636
Dnajc6,9.453172,0.90157044,3.2871520088328554e-21,4.460897700875699e-19,0.8898305084745762,0.7053980862971656,1.385445,0.9570827
Ctnna3,9.415201,1.0569737,4.721786858874051e-21,6.366280963903265e-19,0.7415254237288136,0.4625744719263405,0.8697597,0.5106226
Rap1gap2,9.414828,1.1342669,4.738579057613149e-21,6.366280963903265e-19,0.7415254237288136,0.5151832460732985,0.85029364,0.47661433
Itpr1,9.391536,1.0354643,5.913194166216372e-21,7.904852101802682e-19,0.8940677966101694,0.6686044412348799,1.4344599,0.9399576
5330434G04Rik,9.380558,1.027261,6.562459324922004e-21,8.729370399042289e-19,0.8898305084745762,0.6441957031955227,1.320478,0.85310185
Epb41,9.380011,1.4374918,6.596610030651798e-21,8.731571996237133e-19,0.6440677966101694,0.356562556418126,0.6672486,0.30034885
Rian,9.361615,1.0604495,7.8527179827422e-21,1.0292806448599167e-18,0.9703389830508474,0.76002888608052,2.188866,1.5686057
Dkk3,9.34253,1.4092792,9.405920945871444e-21,1.2268791059008044e-18,0.635593220338983,0.36140097490521755,0.6545493,0.2986148
Fmn1,9.310692,1.1641965,1.270020354828903e-20,1.6485723156643778e-18,0.7754237288135594,0.5283986279111753,1.0045583,0.57225543
Ipcef1,9.258696,1.6941344,2.069456825418412e-20,2.6605887511479775e-18,0.5635593220338984,0.2695432388517783,0.54757386,0.20319092
Mei4,9.244325,2.0884118,2.367307244720218e-20,3.0290259840777265e-18,0.538135593220339,0.2587831738580971,0.6556552,0.197074
Caln1,9.23344,1.0243207,2.620756742692914e-20,3.337428136310834e-18,0.902542372881356,0.7014262502256725,1.7310055,1.1891608
Ptprn2,9.229894,0.9787933,2.7090106861860767e-20,3.4335432612179186e-18,0.9533898305084746,0.7625925257266655,2.1627636,1.5901588
Esrrg,9.202057,1.1094028,3.5116302508116857e-20,4.409229198098597e-18,0.7796610169491526,0.524571222242282,0.9931042,0.5809519
Gm26871,9.192583,1.0417132,3.8351879355028246e-20,4.793093015207484e-18,0.9745762711864406,0.7983390503701029,2.5505717,1.907894
B3glct,9.136828,1.611266,6.431071305038595e-20,8.000133609554954e-18,0.5889830508474576,0.3236685322260336,0.5870288,0.23222408
Dip2a,9.131668,1.2466463,6.74518853146882e-20,8.352221928136737e-18,0.673728813559322,0.4426430763675754,0.7286082,0.3728395
Greb1l,9.075788,1.2704931,1.1285829522017241e-19,1.3784101784391058e-17,0.6949152542372882,0.4517782993320094,0.80239934,0.41225874
Adam10,9.008772,0.92840016,2.0837732350197104e-19,2.5221165236477305e-17,0.8050847457627118,0.6076187037371367,0.95372486,0.60882294
Stxbp5l,8.983371,0.9232698,2.625951395399719e-19,3.1640947979547284e-17,0.9661016949152542,0.7938978154901607,2.2565794,1.7063316
Grin3a,8.971494,1.3135229,2.9252024149352616e-19,3.5089370039870746e-17,0.6822033898305084,0.3998916771980502,0.8586542,0.43642923
Mrtfb,8.851119,0.86871344,8.664634789728886e-19,1.0166757065502846e-16,0.902542372881356,0.7046398266835169,1.3873279,0.9727354
Ankrd33b,8.811469,1.2628456,1.2351607366210121e-18,1.4305503876295946e-16,0.6822033898305084,0.44033218992597944,0.74992657,0.38213766
Pcsk2,8.803982,0.96303153,1.3204542741144564e-18,1.5227728045259847e-16,0.9576271186440678,0.7686947102365048,2.030511,1.4804378
Deptor,8.784763,2.2320797,1.5669388885073485e-18,1.7916445929443597e-16,0.4703389830508475,0.18003249684058495,0.45647022,0.1161223
Sergef,8.766072,1.2186902,1.8500804432751945e-18,2.1064263352035798e-16,0.6694915254237288,0.49517963531323345,0.7950753,0.41994947
Elapor1,8.709997,1.0544536,3.0388335579352115e-18,3.4452935739122e-16,0.7161016949152542,0.5147138472648493,0.7842638,0.45320296
B3galt1,8.687624,0.73441,3.700971554664917e-18,4.178365784615392e-16,0.961864406779661,0.852536558945658,2.3479443,1.9003848
Pde4a,8.685277,0.9945555,3.778196596124692e-18,4.247704708697509e-16,0.7372881355932204,0.5368478064632605,0.8239527,0.49601638
Pex5l,8.668657,1.0918533,4.372467764896295e-18,4.895342035115145e-16,0.9661016949152542,0.7789853764217368,2.3437142,1.6899917
Pten,8.639669,0.829445,5.637613761302896e-18,6.285588455029411e-16,0.8559322033898306,0.709730998375158,1.2248374,0.8555319
Nr4a2,8.637403,1.8199542,5.7505283590144935e-18,6.358711810976108e-16,0.5169491525423728,0.23195522657519407,0.51858467,0.17604904
Zmat4,8.632555,1.0165771,5.999664277882899e-18,6.607007342078422e-16,0.8686440677966102,0.598880664379852,1.3279546,0.863235
Gm28905,8.632015,1.6382,6.028019039905474e-18,6.611137616418779e-16,0.559322033898305,0.2931937172774869,0.6490041,0.25735995
Sesn3,8.621999,1.1731346,6.579538330353529e-18,7.186674590918672e-16,0.6822033898305084,0.4623578263224409,0.7276801,0.38839963
Hmgcll1,8.610648,0.9663899,7.264847141756339e-18,7.903094846113069e-16,0.7838983050847458,0.5614370825058674,0.9451599,0.59064513
Osbpl10,8.606404,1.2691098,7.538810567486256e-18,8.168058062433698e-16,0.6567796610169492,0.42141180718541255,0.67774004,0.33806238
