mapmycells_second_layer,reason
Monocytes NN,"Low cell count (Ctrl=3, Mut=1)"
Astro-OLF NN,"Low cell count (Ctrl=8, Mut=2)"
COAp Grxcr2 Glut,"Low cell count (Ctrl=30, Mut=26)"
NTS Phox2b Glut,"Low cell count (Ctrl=14, Mut=4)"
Lymphoid NN,"Low cell count (Ctrl=25, Mut=16)"
L6b CTX Glut,"Low cell count (Ctrl=16, Mut=34)"
L5 NP CTX Glut,"Low cell count (Ctrl=17, Mut=58)"
HPF CR Glut,"Low cell count (Ctrl=31, Mut=42)"
OB-in Frmd7 Gaba,"Low cell count (Ctrl=55, Mut=22)"
SC Lef1 Otx2 Gaba,"Low cell count (Ctrl=2, Mut=1)"
DG-PIR Ex IMN,"Low cell count (Ctrl=116, Mut=42)"
IA Mgp Gaba,"Low cell count (Ctrl=6, Mut=3)"
LSX Prdm12 Slit2 Gaba,"Low cell count (Ctrl=5, Mut=4)"
CEA-BST Ebf1 Pdyn Gaba,"Low cell count (Ctrl=4, Mut=3)"
L6b EPd Glut,"Low cell count (Ctrl=13, Mut=8)"
OB Meis2 Thsd7b Gaba,"Low cell count (Ctrl=25, Mut=16)"
IC Six3 En2 Gaba,"Low cell count (Ctrl=10, Mut=7)"
LDT Vsx2 Nkx6-1 Nfib Glut,"Low cell count (Ctrl=1, Mut=0)"
Astro-NT NN,"Low cell count (Ctrl=15, Mut=21)"
COAa-PAA-MEA Barhl2 Glut,"Low cell count (Ctrl=23, Mut=13)"
L5 IT CTX Glut,"Low cell count (Ctrl=26, Mut=37)"
SMC NN,"Low cell count (Ctrl=9, Mut=6)"
Endo NN,"Low cell count (Ctrl=73, Mut=49)"
ABC NN,"Low cell count (Ctrl=42, Mut=45)"
CLA-EPd-CTX Car3 Glut,"Low cell count (Ctrl=48, Mut=38)"
SPVI-SPVC Sall3 Nfib Gly-Gaba,"Low cell count (Ctrl=2, Mut=1)"
Peri NN,"Low cell count (Ctrl=27, Mut=19)"
L2 IT PPP-APr Glut,"Low cell count (Ctrl=27, Mut=104)"
Pvalb chandelier Gaba,"Low cell count (Ctrl=21, Mut=36)"
Ependymal NN,"Low cell count (Ctrl=10, Mut=8)"
Tanycyte NN,"Low cell count (Ctrl=4, Mut=0)"
OB-mi Frmd7 Gaba,"Low cell count (Ctrl=2, Mut=1)"
OB Trdn Gaba,"Low cell count (Ctrl=4, Mut=1)"
PVR Six3 Sox3 Gaba,"Low cell count (Ctrl=2, Mut=1)"
MEA-BST Sox6 Gaba,"Low cell count (Ctrl=11, Mut=5)"
STR D2 Gaba,"Low cell count (Ctrl=24, Mut=15)"
CHOR NN,"Low cell count (Ctrl=2, Mut=8)"
IC Tfap2d Maf Glut,"Low cell count (Ctrl=7, Mut=10)"
NI-RPO Gata3 Nr4a2 Gaba,"Low cell count (Ctrl=2, Mut=0)"
NLL Gata3 Gly-Gaba,"Low cell count (Ctrl=13, Mut=7)"
LSX Otx2 Gaba,"Low cell count (Ctrl=2, Mut=1)"
MH Tac2 Glut,"Low cell count (Ctrl=2, Mut=11)"
DTN-LDT-IPN Otp Pax3 Gaba,"Low cell count (Ctrl=3, Mut=0)"
OB Eomes Ms4a15 Glut,"Low cell count (Ctrl=14, Mut=3)"
NTS-PARN Neurod2 Gly-Gaba,"Low cell count (Ctrl=2, Mut=4)"
STR Prox1 Lhx6 Gaba,"Low cell count (Ctrl=5, Mut=5)"
OB-STR-CTX Inh IMN,"Low cell count (Ctrl=31, Mut=28)"
LSX Nkx2-1 Gaba,"Low cell count (Ctrl=8, Mut=4)"
STR D1 Gaba,"Low cell count (Ctrl=10, Mut=9)"
MY Lhx1 Gly-Gaba,"Low cell count (Ctrl=3, Mut=3)"
TRS-BAC Sln Glut,"Low cell count (Ctrl=1, Mut=4)"
CB Granule Glut,"Low cell count (Ctrl=5, Mut=4)"
L2/3 IT RSP Glut,"Low cell count (Ctrl=11, Mut=14)"
PRT Mecom Gaba,"Low cell count (Ctrl=3, Mut=5)"
OB Dopa-Gaba,"Low cell count (Ctrl=21, Mut=4)"
MDRNd Prox1 Pax6 Gly-Gaba,"Low cell count (Ctrl=2, Mut=1)"
MEA-BST Lhx6 Nr2e1 Gaba,"Low cell count (Ctrl=2, Mut=3)"
CB PLI Gly-Gaba,"Low cell count (Ctrl=3, Mut=0)"
BAM NN,"Low cell count (Ctrl=17, Mut=10)"
RT-ZI Gnb3 Gaba,"Low cell count (Ctrl=1, Mut=0)"
SPVC Mafa Glut,"Low cell count (Ctrl=1, Mut=1)"
TH Prkcd Grin2c Glut,"Low cell count (Ctrl=1, Mut=8)"
SNc-VTA-RAmb Foxa1 Dopa,"Low cell count (Ctrl=1, Mut=1)"
