"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","peak","direction"
6.96734950278207e-40,-13.3281216144664,0,0.54,2.09908822145067e-34,"chr7-49991793-49993084","Less_Accessible"
1.78246311524481e-33,-7.42750529990387,0.004,0.472,5.37011575045379e-28,"chr7-45303664-45304457","Less_Accessible"
1.23226813380553e-31,-13.8058205394268,0,0.441,3.71251582012261e-26,"chr5-92534544-92534768","Less_Accessible"
3.8567888945274e-31,-13.7993236505281,0,0.435,1.16195407419874e-25,"chr4-138973319-138974106","Less_Accessible"
3.8567888945274e-31,-13.755794211778,0,0.435,1.16195407419874e-25,"chr6-86153701-86154139","Less_Accessible"
3.8567888945274e-31,-13.9222898477455,0,0.435,1.16195407419874e-25,"chr12-4436158-4436263","Less_Accessible"
3.8567888945274e-31,-13.7347547095062,0,0.435,1.16195407419874e-25,"chr18-55310898-55311102","Less_Accessible"
1.07135150228347e-28,-13.7617893610216,0,0.404,3.22771423850454e-23,"chr16-49612145-49613165","Less_Accessible"
1.07136492913002e-28,-13.7961636051558,0,0.404,3.22775469023647e-23,"chr8-84634303-84636286","Less_Accessible"
2.77288438459422e-28,13.8640998133929,0.534,0,8.35400742968623e-23,"chr18-54036060-54038055","More_Accessible"
9.12068571349001e-28,13.9360011242955,0.527,0,2.7478345883317e-22,"chr4-136542668-136545427","More_Accessible"
9.81366327230556e-28,-13.6258598813576,0,0.391,2.95661140236386e-22,"chr2-171972994-171973534","Less_Accessible"
9.81366327230556e-28,-13.6122625799282,0,0.391,2.95661140236386e-22,"chr17-77266673-77267103","Less_Accessible"
2.94771525359188e-27,-13.0045654403723,0,0.385,8.88072913025894e-22,"JH584304.1-94187-98323","Less_Accessible"
1.4171602784627e-26,-6.99879729619457,0.004,0.385,4.26954962893849e-21,"chr5-52773642-52776283","Less_Accessible"
1.8616743847407e-26,4.76516381366473,0.538,0.025,5.60875950262754e-21,"chr7-44665154-44667440","More_Accessible"
2.43087834708496e-26,-6.55630597052607,0.004,0.385,7.32362874018021e-21,"chr12-12857956-12858453","Less_Accessible"
2.61981223411562e-26,-13.6997127712609,0,0.373,7.89283930833183e-21,"chr7-75394450-75395950","Less_Accessible"
3.04124266561005e-26,13.9140592817759,0.504,0,9.16250384081668e-21,"chr6-88984124-88988049","More_Accessible"
3.28268636816008e-26,6.69249115603259,0.511,0.006,9.88991335567429e-21,"chr16-46815815-46815999","More_Accessible"
5.40534897744927e-26,13.9407144966461,0.5,0,1.62849651318103e-20,"chr2-169153288-169153920","More_Accessible"
7.75219845293385e-26,-13.6697491849477,0,0.366,2.33554358890764e-20,"chr7-64988962-64989035","Less_Accessible"
7.75219845293385e-26,-13.9990002878087,0,0.366,2.33554358890764e-20,"chr11-111087602-111088730","Less_Accessible"
7.75219845293385e-26,-13.7287414791742,0,0.366,2.33554358890764e-20,"chr15-101931072-101931145","Less_Accessible"
1.18618247642251e-25,-7.07633719657575,0.004,0.373,3.57367125584192e-20,"chr6-91225738-91225885","Less_Accessible"
2.65162494945288e-25,-6.29470643691686,0.004,0.373,7.98868306646418e-20,"chr4-133326858-133327365","Less_Accessible"
3.95144541667948e-25,-6.89103562849706,0.004,0.366,1.19047171791011e-19,"chr8-106777878-106780003","Less_Accessible"
4.61441289366286e-25,-6.80643042893876,0.004,0.366,1.39020724453828e-19,"chr12-41693489-41694089","Less_Accessible"
5.25407627547302e-25,13.953016019049,0.485,0,1.58292182989313e-19,"chr16-94655015-94655983","More_Accessible"
6.68829406323549e-25,-13.5639299183311,0,0.354,2.01501579390127e-19,"chr2-104682040-104682266","Less_Accessible"
6.68829406323549e-25,-13.6149050309554,0,0.354,2.01501579390127e-19,"chr13-42897287-42898851","Less_Accessible"
6.68837472909755e-25,-13.8468963224703,0,0.354,2.01504009650886e-19,"chr3-33592398-33595364","Less_Accessible"
1.02164867831223e-24,5.04149381746143,0.504,0.019,3.07797205558518e-19,"chr8-14607234-14612525","More_Accessible"
1.61273398350827e-24,13.8420127747712,0.477,0,4.85876430881454e-19,"chr13-54729640-54730571","More_Accessible"
1.95020895426945e-24,-13.544515061521,0,0.348,5.8754920269753e-19,"chr2-119577802-119578389","Less_Accessible"
1.95023236365045e-24,-13.5298372377535,0,0.348,5.87556255358788e-19,"chr2-4131482-4131852","Less_Accessible"
1.95023236365045e-24,-13.5538357332326,0,0.348,5.87556255358788e-19,"chr7-144652186-144653326","Less_Accessible"
1.95023236365045e-24,-13.4956520461448,0,0.348,5.87556255358788e-19,"chr13-42806231-42806360","Less_Accessible"
1.95023236365045e-24,-13.7182087869937,0,0.348,5.87556255358788e-19,"chr17-50684857-50685716","Less_Accessible"
1.95023236365045e-24,-13.5467500834844,0,0.348,5.87556255358788e-19,"chrX-95544008-95545428","Less_Accessible"
3.7296011809159e-24,4.772608838021,0.504,0.019,1.12363559578044e-18,"chr7-134270085-134272994","More_Accessible"
5.65909965843947e-24,-13.5221100455811,0,0.342,1.70494524959635e-18,"chr1-72275209-72276638","Less_Accessible"
5.65909965843947e-24,-13.4477999510495,0,0.342,1.70494524959635e-18,"chr3-153363397-153364313","Less_Accessible"
5.65909965843947e-24,-13.9338939585536,0,0.342,1.70494524959635e-18,"chr11-99749501-99750121","Less_Accessible"
5.65909965843947e-24,-13.457234644551,0,0.342,1.70494524959635e-18,"chr13-35160091-35160322","Less_Accessible"
5.65909965843947e-24,-13.5827959688622,0,0.342,1.70494524959635e-18,"chr15-70379183-70379557","Less_Accessible"
8.5076572599086e-24,13.7945779856491,0.466,0,2.56314444097896e-18,"chr12-86759391-86762623","More_Accessible"
8.5076572599086e-24,13.8806102632304,0.466,0,2.56314444097896e-18,"chr18-21310306-21310826","More_Accessible"
1.11328165343208e-23,-6.81072026465262,0.004,0.348,3.3540393013775e-18,"chr16-34293607-34294553","Less_Accessible"
1.6342410083316e-23,-13.5574684461946,0,0.335,4.92355959785103e-18,"chr1-86196453-86197329","Less_Accessible"
1.6342410083316e-23,-13.5525577962156,0,0.335,4.92355959785103e-18,"chr1-182940739-182940975","Less_Accessible"
1.6342410083316e-23,-13.6253063452929,0,0.335,4.92355959785103e-18,"chr2-167713102-167714545","Less_Accessible"
1.6342410083316e-23,-13.59887000405,0,0.335,4.92355959785103e-18,"chr6-55347014-55347141","Less_Accessible"
1.6342410083316e-23,-13.5739923137966,0,0.335,4.92355959785103e-18,"chr7-139245833-139247446","Less_Accessible"
1.6342410083316e-23,-13.759144250516,0,0.335,4.92355959785103e-18,"chr13-98787728-98789174","Less_Accessible"
1.6342410083316e-23,-13.5311894633626,0,0.335,4.92355959785103e-18,"chr14-25872401-25873837","Less_Accessible"
1.6342410083316e-23,-13.5188364907269,0,0.335,4.92355959785103e-18,"chr14-28878230-28878889","Less_Accessible"
1.6342410083316e-23,-13.494504587239,0,0.335,4.92355959785103e-18,"chr17-75451297-75451370","Less_Accessible"
1.72022564902288e-23,-5.83196948533528,0.008,0.354,5.18260982409367e-18,"chr19-24084939-24085563","Less_Accessible"
1.82738839096199e-23,-5.00014067597258,0.011,0.366,5.50546437487073e-18,"chr16-17686900-17687804","Less_Accessible"
2.2302130176271e-23,6.34553611336259,0.469,0.006,6.71907426885605e-18,"chr16-33518334-33518677","More_Accessible"
2.63282420865372e-23,-6.92643217842368,0.004,0.342,7.9320411346215e-18,"chr1-121975612-121976575","Less_Accessible"
2.63282420865372e-23,-6.87900204229988,0.004,0.342,7.9320411346215e-18,"chr15-101466099-101467014","Less_Accessible"
2.63282420865372e-23,-6.86144690346493,0.004,0.342,7.9320411346215e-18,"chr18-25088242-25088907","Less_Accessible"
3.78330766261487e-23,-6.54367443525801,0.004,0.342,1.1398160160543e-17,"chr13-10076005-10076667","Less_Accessible"
4.38698566947964e-23,13.931644600203,0.454,0,1.32168910757248e-17,"chr1-120363759-120364362","More_Accessible"
4.69683485216051e-23,-13.5374107300432,0,0.329,1.41503892008466e-17,"chr2-146166197-146167140","Less_Accessible"
4.69683485216051e-23,-13.5323776100087,0,0.329,1.41503892008466e-17,"chr3-42157881-42158480","Less_Accessible"
4.69683485216051e-23,-13.5169133180353,0,0.329,1.41503892008466e-17,"chr3-105088209-105088957","Less_Accessible"
4.69683485216051e-23,-13.4570097695961,0,0.329,1.41503892008466e-17,"chr17-33868736-33869280","Less_Accessible"
5.43901165908892e-23,6.43712811730052,0.462,0.006,1.63863823759201e-17,"chr2-115935651-115937115","More_Accessible"
7.54127503848023e-23,13.7643794985724,0.45,0,2.27199763721813e-17,"chr18-77213262-77214954","More_Accessible"
7.64337940095564e-23,-6.95371803543216,0.004,0.335,2.30275912902291e-17,"chr6-4224908-4225130","Less_Accessible"
8.85632214456317e-23,-3.95754676068429,0.031,0.391,2.66818845410327e-17,"chr6-135180728-135181121","Less_Accessible"
1.29313924795846e-22,13.8274199599041,0.447,0,3.89590526928687e-17,"chr3-147801848-147801993","More_Accessible"
