"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr1",172044626,172126755,82130,"*",0.209292458123334,"Pex19","chr1-172044227-172045025",3.42877596512133,0.000303154894120721,"Astrocytes","Emx1",0.0159156319413379
"chr6",128438677,128482517,43841,"*",0.274405001779492,"Fkbp4","chr6-128481351-128483683",2.65903350143947,0.00391825851111456,"Astrocytes","Emx1",0.0316474725897714
"chr7",4063204,4126838,63635,"*",0.271543307323487,"Lair1","chr7-4125887-4127788",4.49510078063316,3.47685024545258e-06,"Astrocytes","Emx1",0.000365069275772521
"chr8",94838358,94932741,94384,"*",0.213707528816812,"Ciapin1","chr8-94932324-94933158",2.51706861257947,0.00591678910496748,"Astrocytes","Emx1",0.0326980450537677
"chr11",98600398,98682554,82157,"*",0.2006652098115,"Psmd3","chr11-98599164-98601632",1.90416163813141,0.0284445680776378,"Astrocytes","Emx1",0.0439217595316466
"chr11",98700569,98775333,74765,"*",0.219050814601495,"Nr1d1","chr11-98700105-98701032",3.07873220001188,0.00103941728963198,"Astrocytes","Emx1",0.022207592036819
"chr14",57808912,57826239,17328,"*",0.20268350763291,"Mrpl57","chr14-57808440-57809383",2.66314750831699,0.00387067353137137,"Astrocytes","Emx1",0.0316474725897714
"chr15",85788682,85879312,90631,"*",0.223896984972821,"Trmu","chr15-85787451-85789913",2.30483441045496,0.0105879245621885,"Astrocytes","Emx1",0.0344841704252048
"chr16",4867889,4886100,18212,"*",0.209133400047086,"Mgrn1","chr16-4867269-4868508",2.57676260620264,0.00498652089398659,"Astrocytes","Emx1",0.0323908824852231
"chr19",7174090,7241222,67133,"*",0.206878026561742,"Naa40","chr19-7172634-7175545",2.43131747105853,0.00752201313759785,"Astrocytes","Emx1",0.0327977701310131
