"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr1",136455097,136466343,11247,"*",0.437974896619729,"Kif14","chr1-136454697-136455496",6.88906613368785,2.80799142686463e-12,"Progenitors","Nestin",2.22112121864992e-09
"chr1",179478840,179546267,67428,"*",0.245318849001469,"Tfb2m","chr1-179478662-179479018",2.81489592466072,0.00243965164157776,"Progenitors","Nestin",0.023884933631159
"chr1",189688086,189705243,17158,"*",0.249395136736124,"Cenpf","chr1-189704970-189705515",3.09737790512637,0.000976204021335867,"Progenitors","Nestin",0.0164293059760994
"chr2",30359337,30363650,4314,"*",0.210829399667874,"Sh3glb2","chr2-30362880-30364420",3.26580385570836,0.00054576913956419,"Progenitors","Nestin",0.0117536612423727
"chr2",119963490,119972699,9210,"*",0.202433275268309,"Mapkbp1","chr2-119963149-119963831",2.09033590550862,0.0182938180271586,"Progenitors","Nestin",0.0427572258738412
"chr2",130563742,130625100,61359,"*",0.214059919791643,"Mrps26","chr2-130623977-130626223",3.54047570685985,0.000199703201727914,"Progenitors","Nestin",0.00831395960877789
"chr2",162985254,163017354,32101,"*",0.236278637541463,"Ift52","chr2-162984857-162985650",2.7456082226441,0.00301994214793435,"Progenitors","Nestin",0.0252127277870514
"chr2",167632095,167658928,26834,"*",0.210361251059333,"Ube2v1","chr2-167658688-167659168",2.97724623476679,0.00145425155636734,"Progenitors","Nestin",0.0185862590764325
"chr3",87129383,87174747,45365,"*",0.200941434357727,"Kirrel","chr3-87128827-87129939",2.29169404268307,0.0109616522132132,"Progenitors","Nestin",0.0365499537933024
"chr3",88523313,88532395,9083,"*",0.263433879798702,"Mex3a","chr3-88522960-88523665",3.54637560715818,0.000195284542690977,"Progenitors","Nestin",0.00831395960877789
"chr3",94896676,94954075,57400,"*",0.204970718948118,"Rfx5","chr3-94896431-94896921",2.49097786796579,0.00636960274981303,"Progenitors","Nestin",0.0320176056241767
"chr3",131303227,131348697,45471,"*",0.379545412250115,"Cyp2u1","chr3-131348375-131349019",4.16750009402644,1.53979192878729e-05,"Progenitors","Nestin",0.00202995902611791
"chr4",56947437,57021448,74012,"*",0.229540531615637,"Tmem245","chr4-57021411-57021484",3.30090341103708,0.000481870272197257,"Progenitors","Nestin",0.0112105701561185
"chr4",108618283,108619849,1567,"*",0.237584649169466,"Gm12743","chr4-108617973-108618593",3.90103998404522,4.78901639434881e-05,"Progenitors","Nestin",0.00490324110413185
"chr4",129811219,129853914,42696,"*",0.206872295152944,"Ptp4a2","chr4-129853167-129854660",2.67233607879239,0.00376625830642455,"Progenitors","Nestin",0.0275843548183502
"chr4",139352587,139368828,16242,"*",0.295690581976739,"Emc1","chr4-139368139-139369517",3.67497030526158,0.000118938539934474,"Progenitors","Nestin",0.00784003209068074
"chr4",149424987,149518236,93250,"*",0.223653613312519,"Ctnnbip1","chr4-149424608-149425365",2.86607230070053,0.00207799658265883,"Progenitors","Nestin",0.0220899138735634
