"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr1",119053619,119138419,84801,"*",0.24811138358457,"Gli2","chr1-119137360-119139478",6.56553254127297,2.59236143586089e-11,"GABA","Nestin",8.4597394856927e-09
"chr2",29174415,29253006,78592,"*",0.244981521991778,"6530402F18Rik","chr2-29174353-29174477",5.29564442740484,5.92987069049366e-08,"GABA","Nestin",4.83778617166108e-06
"chr2",93902292,93957201,54910,"*",0.214433603250282,"Gm13889","chr2-93902130-93902454",5.06831658717808,2.00674730985795e-07,"GABA","Nestin",1.09144756463941e-05
"chr2",130563749,130645718,81970,"*",0.232291503748469,"4930473A02Rik","chr2-130645409-130646026",5.84118339111017,2.59156538720461e-09,"GABA","Nestin",6.34285628518328e-07
"chr4",58963532,58995062,31531,"*",0.210032109347474,"Dnajc25","chr4-58963395-58963668",4.88438593112731,5.18758423951214e-07,"GABA","Nestin",2.53932248524119e-05
"chr4",148088031,148103362,15332,"*",0.202490046108333,"Agtrap","chr4-148102728-148103996",4.58006500199368,2.32415720506296e-06,"GABA","Nestin",6.50571814008304e-05
"chr4",149955043,149997303,42261,"*",0.204671403725049,"Spsb1","chr4-149997039-149997567",3.94321108307184,4.01989165069855e-05,"GABA","Nestin",0.00052862886797727
"chr5",114103569,114128218,24650,"*",0.236212881493151,"Alkbh2","chr5-114103055-114104082",5.58541813019667,1.1656929938865e-08,"GABA","Nestin",1.63030491573555e-06
"chr7",30663439,30664994,1556,"*",0.222738764635626,"Haus5","chr7-30663284-30663593",5.07161788342247,1.97223901777476e-07,"GABA","Nestin",1.09144756463941e-05
"chr7",30730469,30734739,4271,"*",0.277865444242855,"Sbsn","chr7-30730166-30730771",5.21063976681593,9.40952720400359e-08,"GABA","Nestin",7.00723754256163e-06
"chr7",44964815,44986900,22086,"*",0.203652130234924,"Gm15545","chr7-44964227-44965403",4.47259286212842,3.86384118514592e-06,"GABA","Nestin",9.69923210322527e-05
"chr7",45694402,45729121,34720,"*",0.203920792183912,"Sec1","chr7-45728975-45729266",3.63503031267087,0.000138973976236122,"GABA","Nestin",0.0011830915020449
"chr8",14090327,14106447,16121,"*",0.227878452982936,"Erich1","chr8-14106165-14106729",5.16713272703907,1.1885623054952e-07,"GABA","Nestin",7.27251560674875e-06
"chr8",80058006,80101946,43941,"*",0.210880832019095,"Hhip","chr8-80100980-80102911",4.41378188483804,5.07901519674133e-06,"GABA","Nestin",0.000124308896940244
"chr9",22099337,22156846,57510,"*",0.213023833296456,"Pigyl","chr9-22098837-22099836",4.66611715007479,1.53472371299487e-06,"GABA","Nestin",5.77882505777684e-05
"chr9",66158223,66175774,17552,"*",0.258692957647361,"Dapk2","chr9-66175727-66175820",3.92658996565599,4.30793373436329e-05,"GABA","Nestin",0.000551086490624082
"chr9",108662088,108703012,40925,"*",0.205863681597019,"Slc25a20","chr9-108701625-108704399",3.90052725052287,4.79917104359745e-05,"GABA","Nestin",0.000576742222768811
"chr10",80568627,80577321,8695,"*",0.204995682100056,"Klf16","chr10-80568379-80568874",3.21710736497595,0.0006474506556992,"GABA","Nestin",0.0030970221414659
"chr10",88605152,88606029,878,"*",0.243815370134144,"Mybpc1","chr10-88605709-88606348",5.51034292481868,1.79067639266197e-08,"GABA","Nestin",2.19134023552009e-06
"chr11",81801763,81860673,58911,"*",0.209826066999244,"5530401A14Rik","chr11-81801518-81802007",4.72785899894972,1.13449828225435e-06,"GABA","Nestin",4.82901660142178e-05
"chr11",89947763,90030348,82586,"*",0.240723085528523,"Tmem100","chr11-89947200-89948326",4.59310982100293,2.18344550892356e-06,"GABA","Nestin",6.50571814008304e-05
"chr11",106256154,106263583,7430,"*",0.209682095442483,"Psmc5","chr11-106263509-106263657",4.83776671302316,6.56530625867707e-07,"GABA","Nestin",2.9215612851113e-05
"chr13",41079706,41098053,18348,"*",0.217286469623555,"Mak","chr13-41097474-41098632",3.84765652839772,5.96265420242226e-05,"GABA","Nestin",0.00066638152679897
"chr14",79301645,79397977,96333,"*",0.235070948542605,"Rgcc","chr14-79397916-79398037",3.71536348083372,0.000101455898448157,"GABA","Nestin",0.00096432353961889
"chr15",38909338,39006280,96943,"*",0.427275893215697,"Fzd6","chr15-38909258-38909418",7.91497130222215,1.23655065468791e-15,"GABA","Nestin",1.21058309093946e-12
"chr15",76024342,76069784,45443,"*",0.236531062032132,"Scrib","chr15-76024163-76024521",5.19895569020919,1.00205644122434e-07,"GABA","Nestin",7.00723754256163e-06
"chr15",99875428,99964769,89342,"*",0.200476341740914,"Lima1","chr15-99964376-99965162",4.2872602171132,9.04451745327846e-06,"GABA","Nestin",0.000170280434360762
"chr15",103393122,103453825,60704,"*",0.348046853014642,"Nckap1l","chr15-103392819-103393424",7.64047530720455,1.08210650490001e-14,"GABA","Nestin",5.29691134148555e-12
"chr18",31397795,31440318,42524,"*",0.240298919546714,"Gm26658","chr18-31397566-31398023",4.52612053884948,3.00381609490938e-06,"GABA","Nestin",8.16871099143412e-05
"chr18",37254903,37320381,65479,"*",0.202238574364215,"Pcdhb5","chr18-37254846-37254959",4.7004239760989,1.29810948936124e-06,"GABA","Nestin",5.29520495868606e-05
"chr19",4097182,4135168,37987,"*",0.203364848022338,"Cdk2ap2","chr19-4135093-4135243",5.63729755133036,8.63697469478484e-09,"GABA","Nestin",1.40926637103239e-06
"chr19",4168486,4201603,33118,"*",0.225468736921776,"Rad9a","chr19-4168353-4168619",4.50167634658754,3.37097965586543e-06,"GABA","Nestin",8.80594039942332e-05
"chr19",20405288,20484883,79596,"*",0.206805249896525,"1500015L24Rik","chr19-20484746-20485020",3.31759966755605,0.000453972579549128,"GABA","Nestin",0.0025133500619581
"chrX",105027255,105120378,93124,"*",0.217823427507736,"Magee1","chrX-105027123-105027387",3.84653724676779,5.98994630830535e-05,"GABA","Nestin",0.00066638152679897
