Term,Emx1_nes,Emx1_fdr,Nestin_nes,Nestin_fdr,mean_abs_nes
rRNA Processing (GO:0006364),-1.7515216377978882,0.0041342413794055,-1.4804861738339214,0.1675314611012947,1.6160039058159048
Regulation Of RNA Splicing (GO:0043484),1.1263412077223325,0.8444851403515591,-1.5213715142839073,0.1083441529424054,1.32385636100312
Regulation Of mRNA Processing (GO:0050684),1.171021201268743,0.8254891854499069,-1.4403921741504635,0.2475808590229836,1.3057066877096033
mRNA Splicing - Minor Pathway R-HSA-72165,-1.2864749925896333,0.2677141192663632,-1.311681628115248,0.1762367700836027,1.2990783103524406
RNA Processing (GO:0006396),1.160686532517522,0.832104043998026,-1.4258195857366185,0.2583060726135363,1.2932530591270703
Transport Of Mature mRNA Derived From An Intron-Containing Transcript R-HSA-159236,1.1599259604625776,0.7754502543877799,-1.4168023922056203,0.0816988314291831,1.288364176334099
"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",1.2477896806267683,0.7964127938562472,-1.31847528673041,0.4218925328943021,1.2831324836785891
mRNA Splice Site Recognition (GO:0006376),1.2143007651104334,0.819747250848044,-1.333694162708784,0.4049173745279115,1.2739974639096086
mRNA Splicing - Major Pathway R-HSA-72163,-1.0349566918308462,0.5794766094911555,-1.497556512117098,0.0247910311667475,1.266256601973972
mRNA Splicing R-HSA-72172,-1.032078772660645,0.5824089677026715,-1.4903105354997472,0.0278112869170391,1.2611946540801962
Processing Of Intronless Pre-mRNAs R-HSA-77595,1.2288588745348994,0.758333315518669,-1.2895962217261514,0.2050623520130964,1.2592275481305255
Positive Regulation Of RNA Splicing (GO:0033120),1.228430773759275,0.8198337520878801,-1.2709975076809352,0.4925549563259211,1.2497141407201051
Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,-0.9498524334564292,0.6805149495826299,-1.510644538163192,0.019578071597107,1.2302484858098106
Positive Regulation Of mRNA Processing (GO:0050685),1.0394750858475372,0.8771056477833623,-1.365968743948338,0.3625391211920657,1.2027219148979376
"Positive Regulation Of mRNA Splicing, Via Spliceosome (GO:0048026)",1.006637360787953,0.8900206884806918,-1.348864747858984,0.3958751870689868,1.1777510543234686
"Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)",1.295440290639943,0.8051380195497662,-1.053234416207107,0.6819737554024087,1.174337353423525
Transport Of Mature mRNA Derived From An Intronless Transcript R-HSA-159231,1.262249303188992,0.763274728338559,-1.0798476398474637,0.5232149237103805,1.1710484715182279
"Alternative mRNA Splicing, Via Spliceosome (GO:0000380)",-0.9178170042401372,0.8988013896819956,-1.362503441372374,0.3691769622902022,1.1401602228062555
Spliceosomal Complex Assembly (GO:0000245),0.9132164186237616,0.9129750736883332,-1.2963561950759772,0.4377041597606539,1.1047863068498693
snRNA Processing (GO:0016180),1.3072354001276167,0.8194412801532505,-0.882768656890003,0.8349208749561282,1.0950020285088098
tRNA Processing (GO:0008033),-0.9160821909022984,0.8969538035897836,-1.1689683926418557,0.5536594129999342,1.042525291772077
"mRNA Cis Splicing, Via Spliceosome (GO:0045292)",-0.6182168514743229,0.9912360964031676,-1.3474278231627628,0.3947321585547685,0.9828223373185428
Processing Of Capped Intronless Pre-mRNA R-HSA-75067,-0.6545724462559632,0.9671982732757142,-1.2840098425660171,0.2106650020548004,0.9692911444109902
"Nuclear-Transcribed mRNA Catabolic Process, Exonucleolytic (GO:0000291)",0.7878991477971269,0.9551798664122678,-1.1476556924081878,0.5750211153086225,0.9677774201026573
Regulation Of rRNA Processing (GO:2000232),0.7143769715518992,0.9782653665313926,-1.0872287779378207,0.6390180053131118,0.90080287474486
