"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr1",38821846,38898161,76316,"*",0.206702792568943,"Chst10","chr1-38821530-38822162",1.84395769882525,0.0325946526093737,"SST","Nestin",0.0439496162395658
"chr1",78488897,78522913,34017,"*",0.221667184618535,"Farsb","chr1-78522785-78523041",2.21054614395233,0.01353364087196,"SST","Nestin",0.0386283861278733
"chr1",78488897,78544371,55475,"*",0.226115342541763,"Farsb","chr1-78543661-78545080",2.12387841017959,0.0168401560790137,"SST","Nestin",0.0386283861278733
"chr1",121318328,121332589,14262,"*",0.234498881585149,"Insig2","chr1-121317435-121319220",3.63751299322498,0.000137641654664928,"SST","Nestin",0.00261519143863363
"chr2",90847155,90872814,25660,"*",0.239087735429823,"Mtch2","chr2-90872270-90873358",2.0314197618161,0.0211062157159925,"SST","Nestin",0.0409202141432508
"chr2",177923425,177957297,33873,"*",0.225206500644664,"Gm14326","chr2-177922919-177923930",3.503665700613,0.000229450526625412,"SST","Nestin",0.00363296667156902
"chr3",51519491,51560879,41389,"*",0.214456138895485,"Setd7","chr3-51519375-51519606",1.80951443899623,0.0351855595084387,"SST","Nestin",0.0456591324823708
"chr3",79474868,79567796,92929,"*",0.23525559456939,"Fnip2","chr3-79474116-79475620",1.89695096237122,0.0289172052193191,"SST","Nestin",0.0439496162395658
"chr3",96601133,96612280,11148,"*",0.256179099976398,"Lix1l","chr3-96612238-96612321",2.61913282204037,0.00440768082420604,"SST","Nestin",0.0232627599055319
"chr4",137993022,138010224,17203,"*",-0.248683821104,"Eif4g3","chr4-138009979-138010468",-1.80088203084346,0.0358607378973503,"SST","Nestin",0.0456591324823708
"chr4",152427910,152477871,49962,"*",0.214533442371752,"Kcnab2","chr4-152427833-152427987",2.75065934615637,0.00297377286252436,"SST","Nestin",0.0211100127231628
"chr5",31526995,31619440,92446,"*",0.267678443560864,"Slc4a1ap","chr5-31619155-31619724",2.19304307971153,0.0141521377048395,"SST","Nestin",0.0386283861278733
"chr5",113772748,113814143,41396,"*",0.265503635364152,"Iscu","chr5-113812862-113815424",3.80383593103153,7.12362809023728e-05,"SST","Nestin",0.00169186167143135
"chr5",115300999,115401284,100286,"*",0.311422716987738,"Dynll1","chr5-115400366-115402202",5.80420704605537,3.2335661808987e-09,"SST","Nestin",3.07188787185376e-07
"chr5",115327177,115401284,74108,"*",0.391116736886335,"Srsf9","chr5-115400366-115402202",4.8822862599699,5.24314384094801e-07,"SST","Nestin",2.4904933244503e-05
"chr6",72386724,72439558,52835,"*",0.293106649569244,"Mat2a","chr6-72386662-72386785",2.58592007726584,0.00485597236483575,"SST","Nestin",0.0242732386071771
"chr7",44326243,44384102,57860,"*",0.264469500332473,"Syt3","chr7-44325943-44326542",2.14436015803346,0.0160020200153335,"SST","Nestin",0.0386283861278733
"chr7",73534506,73541746,7241,"*",0.334491819136964,"Chd2","chr7-73534442-73534570",3.08918432646861,0.00100353436132658,"SST","Nestin",0.0136193949037179
"chr7",141309248,141392199,82952,"*",0.214744441629121,"Taldo1","chr7-141308621-141309874",1.79852805384561,0.0360466835387138,"SST","Nestin",0.0456591324823708
"chr7",141442211,141447370,5160,"*",0.20147469650388,"Rplp2","chr7-141441167-141443254",2.44285356498627,0.00728582422871481,"SST","Nestin",0.0314615137149049
"chr8",11528242,11550771,22530,"*",0.250061769538585,"Cars2","chr8-11526720-11529764",2.27434535450468,0.0114726151159428,"SST","Nestin",0.0386283861278733
"chr8",120584684,120668222,83539,"*",-0.215151296587879,"Cox4i1","chr8-120584607-120584761",-1.84871190499327,0.032249711864134,"SST","Nestin",0.0439496162395658
"chr9",102315146,102354693,39548,"*",0.209709621199035,"Ephb1","chr9-102315091-102315200",2.76954220787009,0.00280675652455266,"SST","Nestin",0.0211100127231628
"chr9",108306129,108317669,11541,"*",-0.215942995998841,"Rhoa","chr9-108316327-108319010",-2.3705786074705,0.00888013343518249,"SST","Nestin",0.0366788120148842
"chr10",80367300,80433647,66348,"*",0.284310847867626,"Tcf3","chr10-80367147-80367453",1.98764108937821,0.0234256992667563,"SST","Nestin",0.0427188528564479
"chr10",80704581,80742211,37631,"*",0.313567801971891,"Ap3d1","chr10-80702679-80706482",3.83675882945112,6.23343964140064e-05,"SST","Nestin",0.00169186167143135
"chr11",66142476,66168551,26076,"*",0.346472567782521,"Dnah9","chr11-66142309-66142642",2.78331502613085,0.00269032669228251,"SST","Nestin",0.0211100127231628
"chr11",84870817,84927391,56575,"*",-0.226618188392252,"Ggnbp2","chr11-84927041-84927741",-2.66367957269846,0.00386455733622775,"SST","Nestin",0.0230890492827061
"chr11",97017799,97050628,32830,"*",0.202799578908577,"Osbpl7","chr11-97017038-97018560",2.84170558648196,0.00224364547878934,"SST","Nestin",0.0211100127231628
"chr11",106049071,106066061,16991,"*",0.262675221888163,"Taco1","chr11-106048985-106049156",1.99683662632319,0.0229214666894281,"SST","Nestin",0.0426968497156014
"chr11",106216926,106310062,93137,"*",-0.249374088852745,"Ddx42","chr11-106309334-106310789",-2.10829118123899,0.0175029051493086,"SST","Nestin",0.0386283861278733
"chr12",11376573,11436649,60077,"*",0.215660524382198,"Vsnl1","chr12-11375777-11377369",2.48740874383162,0.00643387307838833,"SST","Nestin",0.0291056163069948
"chr12",109541001,109544415,3415,"*",0.245061244539477,"Meg3","chr12-109543148-109545681",1.91446187430752,0.0277805830677371,"SST","Nestin",0.0439496162395658
"chr12",109541001,109582705,41705,"*",0.238416954687299,"Meg3","chr12-109580779-109584630",1.86866747345072,0.0308345460028425,"SST","Nestin",0.0439496162395658
"chr13",29985668,30007995,22328,"*",-0.237569057793115,"E2f3","chr13-30007456-30008533",-2.07828179148192,0.0188417062644971,"SST","Nestin",0.0386283861278733
"chr14",46822242,46863408,41167,"*",0.329613386887639,"Gmfb","chr14-46863360-46863455",2.10630190105817,0.0175890681459368,"SST","Nestin",0.0386283861278733
"chr15",99606196,99670718,64523,"*",0.219958531159026,"Asic1","chr15-99606146-99606245",1.87607068755449,0.0303227870466528,"SST","Nestin",0.0439496162395658
"chr16",4011395,4077827,66433,"*",0.24536628644188,"Trap1","chr16-4011319-4011470",1.8484011565416,0.0322721657704692,"SST","Nestin",0.0439496162395658
"chr16",17687352,17759618,72267,"*",0.229605358564162,"Klhl22","chr16-17686900-17687804",2.6306539827096,0.00426103768110785,"SST","Nestin",0.0232627599055319
"chr16",20082397,20141063,58667,"*",-0.205382299080099,"Yeats2","chr16-20082353-20082441",-2.10136267419343,0.017804570944324,"SST","Nestin",0.0386283861278733
"chr17",74428102,74489493,61392,"*",0.290361693715763,"Yipf4","chr17-74427878-74428326",2.23261153513142,0.0127872863783358,"SST","Nestin",0.0386283861278733
"chr17",79269454,79355091,85638,"*",0.287998428561384,"Cdc42ep3","chr17-79269141-79269767",2.77678739199686,0.00274495383616241,"SST","Nestin",0.0211100127231628
