"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr1",121318328,121332589,14262,"*",0.232507596560412,"Insig2","chr1-121317435-121319220",2.99510627031797,0.00137174619897945,"CA3","Nestin",0.0337449564948945
"chr2",59612042,59621956,9915,"*",-0.220671453324455,"Tanc1","chr2-59621687-59622224",-2.12451513562344,0.0168135458920931,"CA3","Nestin",0.048583285760967
"chr2",168520410,168601657,81248,"*",0.257798058778422,"Nfatc2","chr2-168519390-168521429",3.03055034379027,0.00122054243833406,"CA3","Nestin",0.0337449564948945
"chr2",180710117,180712018,1902,"*",0.235959320915424,"Gid8","chr2-180711755-180712281",2.13437778646283,0.0164059342203587,"CA3","Nestin",0.048583285760967
"chr4",16164110,16215011,50902,"*",0.203168365069271,"A530072M11Rik","chr4-16214509-16215512",2.68496819266928,0.00362683544799892,"CA3","Nestin",0.0415504300903058
"chr5",31452821,31494741,41921,"*",0.221979863937325,"Gpn1","chr5-31452040-31453602",2.57498772843389,0.00501218215765278,"CA3","Nestin",0.0474229542608686
"chr5",115212117,115300999,88883,"*",0.348520458165554,"Dynll1","chr5-115211990-115212244",4.7246511294363,1.15255368067372e-06,"CA3","Nestin",0.000141764102722868
"chr5",143491167,143528036,36870,"*",0.24297680316133,"Rac1","chr5-143490299-143492034",2.46642869985262,0.00682339472623561,"CA3","Nestin",0.0483071538430706
"chr6",13871526,13883162,11637,"*",0.241399383855459,"1110019D14Rik","chr6-13882734-13883590",2.74840400045216,0.00299430844663583,"CA3","Nestin",0.0415504300903058
"chr7",45708284,45715457,7174,"*",0.209814399291083,"Rpl18","chr7-45707942-45708626",2.69635501050369,0.00350514544112061,"CA3","Nestin",0.0415504300903058
"chr7",80917025,80947780,30756,"*",0.251609588351016,"Sec11a","chr7-80916540-80917509",1.68783336934913,0.0457216100083236,"CA3","Nestin",0.0499561751470107
"chr7",141485105,141539857,54753,"*",0.232540615821452,"Chid1","chr7-141484822-141485388",1.98833396180821,0.0233873835479978,"CA3","Nestin",0.048583285760967
"chr9",107537325,107551555,14231,"*",0.236050584663976,"Rassf1","chr9-107536507-107538142",2.37261948393559,0.00883122470622209,"CA3","Nestin",0.048583285760967
"chr10",76495142,76531588,36447,"*",0.337464970025466,"Lss","chr10-76494933-76495351",3.68228322570359,0.000115577199146439,"CA3","Nestin",0.004738665165004
"chr10",80798626,80836462,37837,"*",0.228382673169703,"Plekhj1","chr10-80833950-80838974",1.81843078134922,0.0344991586284092,"CA3","Nestin",0.048583285760967
"chr11",62386475,62458541,72067,"*",-0.203337757529542,"Ncor1","chr11-62385525-62387425",-1.80798279603169,0.0353045891057905,"CA3","Nestin",0.048583285760967
"chr11",97149530,97187881,38352,"*",0.210976310157533,"Kpnb1","chr11-97149326-97149733",1.98196598150171,0.0237415240970827,"CA3","Nestin",0.048583285760967
"chr11",105953336,106049071,95736,"*",0.256777442597174,"Cyb561","chr11-106048985-106049156",2.40638463054915,0.00805564596426359,"CA3","Nestin",0.048583285760967
"chr12",109517450,109541001,23552,"*",0.205127202315565,"Meg3","chr12-109517346-109517553",1.6803132679482,0.0464481904653576,"CA3","Nestin",0.0499561751470107
"chr14",67008877,67055624,46748,"*",0.312842777886185,"Bnip3l","chr14-67052527-67058720",4.01678591881834,2.94986367615779e-05,"CA3","Nestin",0.00181416616083704
"chr16",4658134,4679777,21644,"*",0.216542617539878,"Coro7","chr16-4657349-4658918",1.65721772760206,0.0487377318507421,"CA3","Nestin",0.0499561751470107
"chr16",20082397,20141063,58667,"*",-0.232992009382879,"Yeats2","chr16-20082353-20082441",-2.82426077490657,0.00236949051172773,"CA3","Nestin",0.0415504300903058
"chr18",34330847,34402027,71181,"*",0.211293519030651,"Srp19","chr18-34400079-34403975",2.34256176924507,0.00957593174059061,"CA3","Nestin",0.048583285760967
