"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr2",26237525,26335461,97937,"*",0.220300248067421,"Qsox2","chr2-26334907-26336014",4.98576623909527,3.08583637786959e-07,"Astrocytes","Nestin",2.819131948068e-05
"chr2",131186949,131194397,7449,"*",0.202924495756569,"Cdc25b","chr2-131193647-131195146",3.82875709195344,6.4396022803261e-05,"Astrocytes","Nestin",0.00140895134190696
"chr2",163332759,163424697,91939,"*",0.212801903045672,"Oser1","chr2-163331946-163333572",2.44835722249792,0.00717546474903108,"Astrocytes","Nestin",0.0142229142129849
"chr2",177840336,177861520,21185,"*",0.294033245642679,"Gm14325","chr2-177860377-177862662",5.16292055780956,1.21563170074356e-07,"Astrocytes","Nestin",2.66360758510368e-05
"chr2",180629445,180710117,80673,"*",0.228755131246611,"Gid8","chr2-180628292-180630598",4.72045360043348,1.17659642508451e-06,"Astrocytes","Nestin",7.92035172464783e-05
"chr2",180657845,180710117,52273,"*",0.203187799066079,"Gid8","chr2-180657317-180658372",4.16739008790609,1.54053494929887e-05,"Astrocytes","Nestin",0.000603097726412164
"chr3",37182885,37255720,72836,"*",0.211054262916757,"Gm12532","chr3-37255526-37255913",2.96007941119702,0.00153779876623084,"Astrocytes","Nestin",0.00755410799513022
"chr3",88357332,88425139,67808,"*",0.206272571689227,"Slc25a44","chr3-88356696-88357968",4.02601817223233,2.83646533474042e-05,"Astrocytes","Nestin",0.000930215170034102
"chr3",94896676,94954075,57400,"*",0.206825681861723,"Rfx5","chr3-94896431-94896921",3.25159916517034,0.000573788678231153,"Astrocytes","Nestin",0.00476542674972496
"chr4",41394489,41464887,70399,"*",0.223501817185526,"Kif24","chr4-41394188-41394790",6.06973256475591,6.40617141299771e-10,"Astrocytes","Nestin",8.19349323722407e-07
"chr4",154160666,154170638,9973,"*",0.213567769640167,"Tprgl","chr4-154170008-154171267",3.89353977947335,4.93959967238868e-05,"Astrocytes","Nestin",0.00123877411391865
"chr5",37301924,37336894,34971,"*",0.223713611445747,"Evc","chr5-37301720-37302127",5.02615034230642,2.50211814226104e-07,"Astrocytes","Nestin",2.66360758510368e-05
"chr5",123445812,123524176,78365,"*",0.201183661001566,"Diablo","chr5-123445643-123445981",4.11396725810473,1.94458311394303e-05,"Astrocytes","Nestin",0.000710606229352324
"chr5",143329256,143361074,31819,"*",0.216174595756591,"Zdhhc4","chr5-143360900-143361248",4.41100165995041,5.14467646423752e-06,"Astrocytes","Nestin",0.000274168383239991
"chr5",143933035,143973931,40897,"*",0.201555280880464,"Rsph10b","chr5-143973709-143974152",3.26124332901492,0.000554624031875396,"Astrocytes","Nestin",0.00473198628848586
"chr6",49756788,49822710,65923,"*",0.213293953797443,"Npy","chr6-49755159-49758417",4.53515859391453,2.87801084846512e-06,"Astrocytes","Nestin",0.00017528456548509
"chr6",50456201,50543580,87380,"*",0.242651101619003,"Osbpl3","chr6-50543023-50544136",5.80259929942811,3.26473506269952e-09,"Astrocytes","Nestin",1.68056664595515e-06
"chr6",90406125,90462576,56452,"*",0.209566898612287,"Klf15","chr6-90404988-90407262",2.98310569144155,0.00142669720364447,"Astrocytes","Nestin",0.00732829607815774
"chr7",18949006,19004065,55060,"*",0.215108420706753,"Irf2bp1","chr7-18948386-18949626",4.9390170783432,3.92586682314084e-07,"Astrocytes","Nestin",3.34745577786476e-05
"chr7",44926574,44986492,59919,"*",0.235099364884938,"Prmt1","chr7-44926075-44927073",4.52270192433845,3.0527596826785e-06,"Astrocytes","Nestin",0.000177476347006627
