"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","peak","direction"
1.8616743847407e-26,4.76516381366473,0.538,0.025,5.60875950262754e-21,"chr7-44665154-44667440","More_Accessible"
1.02164867831223e-24,5.04149381746143,0.504,0.019,3.07797205558518e-19,"chr8-14607234-14612525","More_Accessible"
3.7296011809159e-24,4.772608838021,0.504,0.019,1.12363559578044e-18,"chr7-134270085-134272994","More_Accessible"
1.82738839096199e-23,-5.00014067597258,0.011,0.366,5.50546437487073e-18,"chr16-17686900-17687804","Less_Accessible"
8.85632214456317e-23,-3.95754676068429,0.031,0.391,2.66818845410327e-17,"chr6-135180728-135181121","Less_Accessible"
1.50188074056148e-22,-4.93958302455812,0.011,0.354,4.5247912011266e-17,"chr4-149701334-149701750","Less_Accessible"
5.71234795066599e-22,4.14092039392078,0.485,0.031,1.7209876288369e-16,"chr6-83992193-83992513","More_Accessible"
6.17635354487865e-22,-3.75574621710017,0.034,0.391,1.86078091423332e-16,"chr1-164119698-164119926","Less_Accessible"
7.2136553976471e-22,-5.17342712715098,0.011,0.342,2.17329402992613e-16,"chr8-48043282-48043721","Less_Accessible"
1.5616722708027e-21,-5.25994729409412,0.011,0.335,4.70492813386084e-16,"chr15-102640884-102645083","Less_Accessible"
2.93524957498655e-21,3.39022931388604,0.523,0.062,8.84317315704073e-16,"chr7-49133825-49135351","More_Accessible"
5.01375230506439e-21,-5.13841371462292,0.011,0.329,1.51051822570828e-15,"chr9-9315038-9316262","Less_Accessible"
7.70255705037872e-21,5.39652669450042,0.435,0.012,2.32058787535285e-15,"chr18-23945242-23949454","More_Accessible"
2.53506363407773e-20,-4.08873488838831,0.023,0.348,7.63751296356768e-15,"chr4-84182350-84183984","Less_Accessible"
3.57441574534644e-20,4.66266133352498,0.439,0.019,1.07688210367925e-14,"chr8-82805923-82806264","More_Accessible"
4.75451978103564e-20,-5.0105146690945,0.011,0.317,1.43241794703151e-14,"chr6-71557585-71557872","Less_Accessible"
6.37990050123346e-20,5.19287883129509,0.424,0.012,1.92210452350911e-14,"chr8-106208039-106208350","More_Accessible"
1.40765278227568e-19,-3.77434524647206,0.031,0.354,4.24090591980106e-14,"chr1-123560489-123561221","Less_Accessible"
1.74232134334447e-19,-4.96388929997601,0.011,0.311,5.24917862716106e-14,"chr1-154967144-154969406","Less_Accessible"
2.41072967541761e-19,5.24508849275247,0.412,0.012,7.26292582961441e-14,"chr5-89171041-89173155","More_Accessible"
2.66371735484588e-19,-4.16460632678334,0.019,0.329,8.02511446081193e-14,"chr16-43451648-43452789","Less_Accessible"
3.22701036772251e-19,-5.03814205782635,0.011,0.304,9.72217548535599e-14,"chr1-157363144-157365472","Less_Accessible"
3.49466565112568e-19,5.07583533264305,0.412,0.012,1.05285539404289e-13,"chr7-138510643-138511840","More_Accessible"
7.33903317308522e-19,5.13611242335845,0.405,0.012,2.21106721922125e-13,"chr4-123187793-123189861","More_Accessible"
9.38642141043612e-19,-2.92102317482553,0.065,0.404,2.82789411042914e-13,"chr4-62345339-62347916","Less_Accessible"
9.74820950359581e-19,-4.17775095986913,0.023,0.323,2.93689181819583e-13,"chr15-83936580-83938654","Less_Accessible"
2.04328052926265e-18,4.54510679673187,0.408,0.019,6.15589341453604e-13,"chr13-101161377-101162777","More_Accessible"
2.18983590744676e-18,5.08535887829838,0.397,0.012,6.59742813016021e-13,"chr15-101753429-101755063","More_Accessible"
2.57992333592222e-18,-4.94046405385892,0.011,0.292,7.77266403029967e-13,"chr16-29438773-29439771","Less_Accessible"
3.70084992914451e-18,-4.84297373826194,0.011,0.292,1.11497356240301e-12,"chr15-101020182-101020336","Less_Accessible"
5.83734676421102e-18,-3.1359200061622,0.05,0.366,1.75864664638767e-12,"chr16-96413071-96413847","Less_Accessible"
7.95637380805083e-18,4.40696846832224,0.401,0.019,2.39705651902051e-12,"chr2-102650555-102652777","More_Accessible"
2.35877529793195e-17,-2.72232235120666,0.065,0.391,7.1064002788445e-12,"chr14-122140677-122142396","Less_Accessible"
2.42615637518675e-17,3.57962698343265,0.412,0.031,7.30940261934389e-12,"chr7-45062325-45065512","More_Accessible"
2.73752264874753e-17,-4.15280048363825,0.019,0.298,8.24747136001413e-12,"chr7-46349513-46350305","Less_Accessible"
2.92865737067514e-17,-4.74533849916574,0.011,0.28,8.82331249350154e-12,"chr12-74069686-74070350","Less_Accessible"
3.97354585249698e-17,-4.68079233499363,0.011,0.28,1.19713002671103e-11,"chr7-28727640-28728412","Less_Accessible"
4.20921261319393e-17,5.04712273010407,0.374,0.012,1.26813053004e-11,"chr15-37427973-37429604","More_Accessible"
4.41110098421543e-17,5.03007193400442,0.374,0.012,1.32895444901951e-11,"chr1-156264979-156265198","More_Accessible"
6.02772234563058e-17,-4.77982275219095,0.011,0.273,1.81600204967985e-11,"chr16-72507153-72507465","Less_Accessible"
6.80216205733917e-17,-4.74735782224262,0.011,0.273,2.04932137382486e-11,"chr5-27487463-27487706","Less_Accessible"
9.04696421004604e-17,5.11291277923178,0.366,0.012,2.72562414238162e-11,"chr18-82620940-82621657","More_Accessible"
9.36699155359549e-17,-4.50360787422199,0.015,0.28,2.82204038030948e-11,"chr16-4272477-4275352","Less_Accessible"
9.96711031978064e-17,-4.4765997156233,0.015,0.28,3.00284116159191e-11,"chr14-120068324-120070666","Less_Accessible"
1.6218472502842e-16,-4.01497972358732,0.023,0.292,4.88622030329373e-11,"chr4-154839033-154839214","Less_Accessible"
1.74202438652758e-16,-4.83949378773294,0.011,0.267,5.24828397051098e-11,"chr12-33655565-33655664","Less_Accessible"
1.76422764219673e-16,-4.78382731390028,0.011,0.267,5.3151768290282e-11,"chr9-85897047-85898768","Less_Accessible"
3.5652635053534e-16,3.95374704753463,0.382,0.025,1.07412476257534e-10,"chr15-74767934-74768615","More_Accessible"
4.02647883248708e-16,-3.40972235330514,0.038,0.317,1.21307741025754e-10,"chr8-127071529-127072499","Less_Accessible"
4.03999179562302e-16,5.10550668851757,0.355,0.012,1.21714852822633e-10,"chr2-173609421-173609836","More_Accessible"
4.33829280043431e-16,-3.15074015167875,0.042,0.329,1.30701916345085e-10,"chr7-80957378-80957953","Less_Accessible"
4.91388859094479e-16,-4.76250945134243,0.011,0.261,1.48043178523689e-10,"chr17-56414954-56419202","Less_Accessible"
5.7737041100144e-16,3.28341639369558,0.405,0.037,1.73947270574459e-10,"chr8-126269734-126270576","More_Accessible"
6.54979888466741e-16,2.02513227593085,0.519,0.143,1.97329065897818e-10,"chr6-134737846-134738351","More_Accessible"
9.56851560452194e-16,3.3321466969267,0.401,0.043,2.88275453875235e-10,"chr4-65589976-65590931","More_Accessible"
9.73366000722158e-16,4.02754135094107,0.37,0.025,2.93250841867568e-10,"chr12-91971020-91971821","More_Accessible"
1.00182265499908e-15,4.8402600714196,0.351,0.012,3.01824120384847e-10,"chr14-103075347-103075657","More_Accessible"
1.24304946363733e-15,4.86063062726078,0.347,0.012,3.74499727157336e-10,"chr8-11471253-11473328","More_Accessible"
1.45588723336675e-15,-3.54523993213557,0.031,0.298,4.38622426232567e-10,"chr5-115400366-115402202","Less_Accessible"
1.74428317204542e-15,4.72036905694942,0.347,0.012,5.25508912657985e-10,"chr6-142883045-142884825","More_Accessible"
1.81945291605169e-15,-3.5422063511439,0.027,0.292,5.48155677283474e-10,"chr12-35771675-35772161","Less_Accessible"
2.27714457037653e-15,3.93485691299243,0.366,0.025,6.8604673044019e-10,"chr12-25583297-25583850","More_Accessible"
2.46487075415506e-15,-4.10766261357518,0.019,0.267,7.42603936458065e-10,"chr14-66200598-66200835","Less_Accessible"
2.51142955632116e-15,-3.68258335474236,0.023,0.28,7.56630939580658e-10,"chr18-24318761-24320197","Less_Accessible"
