"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr1",182287990,182292678,4689,"*",0.262199383718906,"1700047M11Rik","chr1-182291530-182293825",2.75567640924652,0.00292854552637896,"Immature GC","Nestin",0.0287958556614539
"chr2",25930002,26021747,91746,"*",0.387332655205105,"Ubac1","chr2-25929246-25930758",3.61265277704345,0.000151540213975582,"Immature GC","Nestin",0.00910935957187841
"chr2",91082390,91155116,72727,"*",0.223797443626822,"Spi1","chr2-91154588-91155643",2.27709702888112,0.0113902160432137,"Immature GC","Nestin",0.0397804262665388
"chr2",94157964,94171845,13882,"*",0.233422585157546,"Hsd17b12","chr2-94171278-94172412",2.39280974342181,0.00835995431525882,"Immature GC","Nestin",0.0396420136434523
"chr2",143509432,143547837,38406,"*",0.206527413715775,"Pcsk2os1","chr2-143508731-143510133",2.13295051199936,0.0164643930273646,"Immature GC","Nestin",0.0425860986063149
"chr2",178078476,178139835,61360,"*",0.306018975555131,"Zfp931","chr2-178139136-178140533",2.62141591538468,0.00437826801138932,"Immature GC","Nestin",0.0340375029272525
"chr4",116542740,116557658,14919,"*",0.24315964730165,"Gpbp1l1","chr4-116542266-116543213",2.31754299889935,0.0102370855834442,"Immature GC","Nestin",0.0397804262665388
"chr5",96184221,96209493,25273,"*",0.24973625395299,"Mrpl1","chr5-96184023-96184418",2.87531940063913,0.00201809486425575,"Immature GC","Nestin",0.0287958556614539
"chr5",115158179,115178310,20132,"*",0.221100059968933,"Mlec","chr5-115177498-115179122",2.06678097107875,0.0193773986647165,"Immature GC","Nestin",0.0436444212915577
"chr5",142895421,142936317,40897,"*",0.229726120206717,"Fbxl18","chr5-142936196-142936438",2.21529594782404,0.0133698789040312,"Immature GC","Nestin",0.0412481678055531
"chr5",143651366,143732280,80915,"*",0.204349472341422,"Usp42","chr5-143651188-143651543",2.36475051810886,0.00902111015156635,"Immature GC","Nestin",0.0397804262665388
"chr7",44997648,45016435,18788,"*",0.22944934359579,"Irf3","chr7-45015615-45017255",2.77030457030413,0.00280019484948848,"Immature GC","Nestin",0.0287958556614539
"chr7",45304061,45395692,91632,"*",0.267107148214689,"Snrnp70","chr7-45303664-45304457",2.0847962909909,0.018543897772601,"Immature GC","Nestin",0.0432662037459098
"chr7",45377768,45395692,17925,"*",-0.224383514541394,"Snrnp70","chr7-45377615-45377920",-2.63938529863841,0.00415282620051173,"Immature GC","Nestin",0.0333610371441109
"chr7",45715457,45734676,19220,"*",0.222625244884159,"Rpl18","chr7-45734342-45735009",2.02065088829212,0.021657958557471,"Immature GC","Nestin",0.0448722269470793
"chr7",64379613,64392268,12656,"*",0.228373681498189,"Mphosph10","chr7-64379353-64379872",2.53316684692025,0.00565185672589552,"Immature GC","Nestin",0.0343378642719617
"chr7",92545765,92561149,15385,"*",0.210702713977398,"Ccdc90b","chr7-92544996-92546533",2.8690394554525,0.00205860217933284,"Immature GC","Nestin",0.0287958556614539
"chr7",122067244,122067263,20,"*",0.237790528725649,"Ears2","chr7-122067129-122067359",2.74640969402718,0.00301257354365643,"Immature GC","Nestin",0.0287958556614539
"chr7",122067244,122101886,34643,"*",0.263960217710317,"Ndufab1","chr7-122067129-122067359",1.98000415470529,0.0238515309180717,"Immature GC","Nestin",0.0448722269470793
"chr7",141043800,141061274,17475,"*",0.247613700324972,"B4galnt4","chr7-141043740-141043860",2.94434775863257,0.00161818062789807,"Immature GC","Nestin",0.0287958556614539
"chr8",12873806,12930212,56407,"*",0.21105866938872,"Mcf2l","chr8-12929819-12930604",2.54084518774632,0.00552924363194845,"Immature GC","Nestin",0.0343378642719617
"chr8",82806094,82863356,57263,"*",0.223833191432476,"Rnf150","chr8-82805923-82806264",2.55569338745686,0.00529882272747127,"Immature GC","Nestin",0.0343378642719617
"chr8",111393824,111448524,54701,"*",0.200247225687919,"Fa2h","chr8-111447478-111449569",2.32750497966722,0.00996920213308958,"Immature GC","Nestin",0.0397804262665388
"chr8",111393824,111478929,85106,"*",0.253151214294784,"Fa2h","chr8-111478870-111478987",2.8330019485685,0.00230565524474971,"Immature GC","Nestin",0.0287958556614539
"chr8",124520767,124521064,298,"*",0.246531249768637,"Cog2","chr8-124520945-124521183",2.28158682496264,0.0112568726447227,"Immature GC","Nestin",0.0397804262665388
"chr8",124562337,124663369,101033,"*",0.207118544800642,"2310022B05Rik","chr8-124561283-124563390",2.11721138197505,0.0171209559205444,"Immature GC","Nestin",0.0425860986063149
"chr9",37433163,37480155,46993,"*",0.250826848625018,"Robo3","chr9-37478699-37481610",2.7637721124204,0.00285687144008246,"Immature GC","Nestin",0.0287958556614539
"chr9",67559703,67648467,88765,"*",0.204377997981,"Tln2","chr9-67648069-67648864",2.47081756415241,0.00674022850735709,"Immature GC","Nestin",0.0386760731017395
"chr10",69533772,69599631,65860,"*",-0.215403994124308,"Ank3","chr10-69598660-69600601",-2.70613850905244,0.00340353239084792,"Immature GC","Nestin",0.0287958556614539
"chr11",24075054,24171812,96759,"*",0.240932088775984,"A830031A19Rik","chr11-24171516-24172107",2.82423776085879,0.00236966067009655,"Immature GC","Nestin",0.0287958556614539
"chr11",63048095,63128982,80888,"*",0.213269447988644,"Pmp22","chr11-63047898-63048291",1.99903625536386,0.0228022156237355,"Immature GC","Nestin",0.0448722269470793
"chr11",66113514,66168035,54522,"*",0.209296964305862,"Gm12296","chr11-66112794-66114233",1.65682402955663,0.0487775286550526,"Immature GC","Nestin",0.0498506001780259
"chr11",67385318,67455437,70120,"*",0.23432122171789,"Gas7","chr11-67384917-67385719",2.85805634941354,0.00213122345384204,"Immature GC","Nestin",0.0287958556614539
"chr11",68781401,68871858,90458,"*",0.263996602841146,"Ndel1","chr11-68781068-68781734",3.79914514320049,7.25980225116829e-05,"Immature GC","Nestin",0.00874806171265779
"chr11",69369406,69423245,53840,"*",0.212336542089171,"Chd3","chr11-69422634-69423856",1.72681157535466,0.0421007544721844,"Immature GC","Nestin",0.0484824785198106
"chr11",86608676,86683985,75310,"*",0.243999878106275,"Ptrh2","chr11-86608327-86609024",2.16112221328824,0.0153429500478469,"Immature GC","Nestin",0.0424661883094957
"chr11",86683985,86754108,70124,"*",0.245933404201008,"Ptrh2","chr11-86753996-86754219",1.72519527895031,0.0422461431085487,"Immature GC","Nestin",0.0484824785198106
"chr14",54346052,54360841,14790,"*",0.294692491152975,"Oxa1l","chr14-54345499-54346604",2.75103419875137,0.00297037204656397,"Immature GC","Nestin",0.0287958556614539
"chr14",103075502,103099566,24065,"*",0.267312868847655,"Fbxl3","chr14-103075347-103075657",3.64208345196132,0.00013522018311106,"Immature GC","Nestin",0.00910935957187841
"chr15",83282768,83350247,67480,"*",0.34240404954849,"Arfgap3","chr15-83282489-83283047",4.13232347781561,1.79557270540474e-05,"Immature GC","Nestin",0.00432733022002542
"chr15",84105754,84107969,2216,"*",0.208726237762015,"Sult4a1","chr15-84106677-84109261",2.03322237014157,0.0210150309906561,"Immature GC","Nestin",0.0448722269470793
"chr15",102406143,102499235,93093,"*",0.230231463665818,"Sp1","chr15-102499070-102499400",2.95340338961791,0.00157145483896164,"Immature GC","Nestin",0.0287958556614539
"chr15",103201319,103239816,38498,"*",0.262111297250323,"Cbx5","chr15-103201161-103201476",2.58558623134267,0.00486067762649438,"Immature GC","Nestin",0.0343378642719617
"chr15",103340086,103371094,31009,"*",0.228472650409001,"Zfp385a","chr15-103370906-103371282",2.40376402591566,0.00811362212590924,"Immature GC","Nestin",0.0396420136434523
"chr16",16896469,16972850,76382,"*",0.20254605936034,"Ppm1f","chr16-16972346-16973354",2.15580451795201,0.0155494662785951,"Immature GC","Nestin",0.0424661883094957
"chr17",26069409,26087248,17840,"*",-0.224006005317205,"Rab11fip3","chr17-26086446-26088049",-2.91697519426062,0.00176721940278316,"Immature GC","Nestin",0.0287958556614539
"chr17",31621389,31658754,37366,"*",0.224533492478734,"U2af1","chr17-31620714-31622063",3.55499816667909,0.000188990862487104,"Immature GC","Nestin",0.00910935957187841
"chr17",35233660,35258485,24826,"*",0.218967718925714,"Atp6v1g2","chr17-35258161-35258809",2.30745437917601,0.0105147513518386,"Immature GC","Nestin",0.0397804262665388
"chr17",56584825,56657099,72275,"*",0.201855459563263,"Safb","chr17-56656174-56658023",2.53023974541948,0.00569923058455796,"Immature GC","Nestin",0.0343378642719617
"chr17",78937070,79004695,67626,"*",0.216082985465026,"Cebpz","chr17-79004268-79005122",1.64630393204757,0.0498506001780259,"Immature GC","Nestin",0.0498506001780259
"chr17",79896123,79906999,10877,"*",-0.205209918367936,"Atl2","chr17-79906522-79907476",-2.97192517512306,0.00147969399039666,"Immature GC","Nestin",0.0287958556614539
"chr18",36238201,36281097,42897,"*",-0.259842735181036,"Pura","chr18-36237895-36238506",-3.10941391511398,0.0009372945093961,"Immature GC","Nestin",0.0287958556614539
"chr18",61014199,61083531,69333,"*",0.208087561511076,"Slc6a7","chr18-61083181-61083880",2.7017318527275,0.0034489684170913,"Immature GC","Nestin",0.0287958556614539
"chr19",7159109,7241222,82114,"*",0.268902873586808,"Naa40","chr19-7158142-7160076",2.73524394985059,0.00311670303939786,"Immature GC","Nestin",0.0287958556614539
