"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr1",38985608,39081291,95684,"*",0.239871603089984,"Pdcl3","chr1-39080880-39081701",5.21881504461554,9.00357359376496e-08,"Mature GC","Nestin",1.3312426670781e-05
"chr1",163943391,163994889,51499,"*",0.25802226740746,"Mettl18","chr1-163943163-163943618",5.05939320027406,2.1029638477968e-07,"Mature GC","Nestin",2.38573874314828e-05
"chr2",110721340,110810102,88763,"*",0.23011639941694,"Muc15","chr2-110810050-110810154",5.4744021257593,2.19495592395054e-08,"Mature GC","Nestin",4.54355876257762e-06
"chr2",179442431,179471710,29280,"*",0.209996535070105,"Cdh4","chr2-179471412-179472008",4.29067773338399,8.90643277532822e-06,"Mature GC","Nestin",0.000271122291837197
"chr8",31070812,31089471,18660,"*",0.209625281852163,"Dusp26","chr8-31070458-31071166",5.95835622669539,1.27393829551491e-09,"Mature GC","Nestin",4.39508711952644e-07
"chr10",39541404,39612934,71531,"*",0.220287271299637,"Traf3ip2","chr10-39541002-39541805",4.35350181255065,6.69899935858916e-06,"Mature GC","Nestin",0.000224361873860536
"chr10",40630011,40720514,90504,"*",0.269094362699795,"Ddo","chr10-40719377-40721650",6.10040382576339,5.29004128087162e-10,"Mature GC","Nestin",2.73759636285106e-07
"chr11",70457831,70540064,82234,"*",0.215012329093754,"Pld2","chr11-70457697-70457965",4.81167687980872,7.48345954471232e-07,"Mature GC","Nestin",4.69156580437148e-05
"chr11",97796790,97799000,2211,"*",0.205095947585552,"Lasp1","chr11-97796692-97796887",4.55680729930682,2.59685160867353e-06,"Mature GC","Nestin",0.000111989225624046
"chr11",120556142,120598421,42280,"*",0.207290361840404,"Anapc11","chr11-120555758-120556526",5.0783346906959,1.90378758870396e-07,"Mature GC","Nestin",2.38573874314828e-05
"chr13",48018608,48101983,83376,"*",0.242108700134249,"4931429P17Rik","chr13-48101750-48102215",5.24904028685423,7.64468197332511e-08,"Mature GC","Nestin",1.31870764039858e-05
"chr17",34837019,34926260,89242,"*",0.235770097142593,"Dxo","chr17-34925515-34927004",4.21417980755306,1.2534375796155e-05,"Mature GC","Nestin",0.000349640516736291
