"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr1",162866610,162888044,21435,"*",0.251151820452776,"Fmo1","chr1-162887869-162888218",5.54810689891259,1.44389651531947e-08,"CTX","Nestin",1.87500276060771e-06
"chr2",156524996,156613705,88710,"*",-0.209980676784206,"Dlgap4","chr2-156524756-156525236",-4.94675586887766,3.77302590085082e-07,"CTX","Nestin",2.14355033992087e-05
"chr3",131290606,131344940,54335,"*",0.205600882452877,"Sgms2","chr3-131290521-131290691",4.41211145071695,5.11836962767683e-06,"CTX","Nestin",0.000145393687236195
"chr3",141388250,141465333,77084,"*",0.225735747904581,"Gm15688","chr3-141387748-141388752",6.4432720647671,5.84624100242516e-11,"CTX","Nestin",2.65711653560224e-08
"chr4",130102558,130186054,83497,"*",0.281603368132769,"Pef1","chr4-130185724-130186383",5.1012519182272,1.68707043810091e-07,"CTX","Nestin",1.09539073445266e-05
"chr5",24445287,24476370,31084,"*",0.23161678823355,"Fastk","chr5-24476319-24476421",3.94228127081203,4.03551226018785e-05,"CTX","Nestin",0.000692128423492595
"chr5",35105766,35177420,71655,"*",0.212818919319403,"Lrpap1","chr5-35176488-35178351",5.13400101489508,1.4182328212647e-07,"CTX","Nestin",9.9167202656124e-06
"chr5",110368358,110448503,80146,"*",0.204406915398661,"Fbrsl1","chr5-110368246-110368469",4.37047537241267,6.19881687323028e-06,"CTX","Nestin",0.00016252252138242
"chr7",28716804,28728026,11223,"*",0.219723544013557,"Fbxo17","chr7-28727640-28728412",3.7405114625866,9.182308516225e-05,"CTX","Nestin",0.00120646005897886
"chr7",45052881,45100969,48089,"*",0.201185211466614,"Prr12","chr7-45100478-45101459",4.44423158657677,4.41032762478069e-06,"CTX","Nestin",0.000129322187449214
"chr7",45062677,45109421,46745,"*",0.220967632583066,"Prrg2","chr7-45108386-45110455",3.92310615984531,4.3707304879884e-05,"CTX","Nestin",0.000713734587604178
"chr8",82774160,82852343,78184,"*",0.203672128598624,"Zfp330","chr8-82852024-82852661",4.28602356121968,9.09498521069831e-06,"CTX","Nestin",0.000202314149706956
"chr8",119826911,119862305,35395,"*",0.295744840406582,"Klhl36","chr8-119826820-119827002",6.35088623583389,1.07038994407213e-10,"CTX","Nestin",3.24328153053855e-08
"chr8",123254195,123281617,27423,"*",0.205381761756312,"Zfp276","chr8-123281394-123281840",3.83625384804725,6.24626421264807e-05,"CTX","Nestin",0.000946309028216183
"chr9",44058551,44113517,54967,"*",0.221949972198103,"Rnf26","chr9-44058230-44058871",5.30103799797885,5.75730588811351e-08,"CTX","Nestin",5.81487894699465e-06
"chr10",81244081,81268172,24092,"*",0.213028223238812,"Apba3","chr10-81243281-81244880",3.97145980783364,3.5716776844894e-05,"CTX","Nestin",0.000649331003040173
"chr11",3963975,4055735,91761,"*",0.322655456947837,"Pes1","chr11-4054900-4056570",6.03466580398379,7.96460010249019e-10,"CTX","Nestin",1.8099553732909e-07
"chr11",68957480,68989387,31908,"*",0.239660262864613,"Arhgef15","chr11-68987758-68991015",5.46753012177425,2.28174838285032e-08,"CTX","Nestin",2.59263660001368e-06
"chr11",69846376,69944067,97692,"*",0.245130107895202,"Plscr3","chr11-69943842-69944291",4.91184712866117,4.51111927628044e-07,"CTX","Nestin",2.41212201302289e-05
